location_id,location_name,region,drug_id,drug_name,safety_stock,avg_closing_stock,min_closing_stock,days_below_safety,stockout_days,avg_gap,pct_days_below_safety_stock,stockout_rate_pct
2,Central DC,Central,11,Drug 11,363,381.23561643835615,0,175,55,18.235616438356146,47.945205479452056,15.068493150684931
2,Central DC,Central,12,Drug 12,686,566.1643835616438,0,232,33,-119.83561643835617,63.56164383561644,9.04109589041096
2,Central DC,Central,13,Drug 13,466,446.90410958904107,0,189,35,-19.09589041095893,51.78082191780822,9.58904109589041
2,Central DC,Central,14,Drug 14,1028,945.3013698630137,0,206,30,-82.69863013698625,56.43835616438356,8.219178082191782
2,Central DC,Central,15,Drug 15,602,485.9095890410959,0,231,60,-116.0904109589041,63.28767123287671,16.438356164383563
2,Central DC,Central,16,Drug 16,354,307.386301369863,0,226,27,-46.61369863013698,61.917808219178085,7.397260273972603
2,Central DC,Central,17,Drug 17,394,311.3068493150685,0,244,42,-82.69315068493148,66.84931506849315,11.506849315068493
2,Central DC,Central,18,Drug 18,1136,853.9095890410958,0,263,33,-282.09041095890416,72.05479452054794,9.04109589041096
2,Central DC,Central,19,Drug 19,809,716.8684931506849,0,205,55,-92.13150684931509,56.16438356164384,15.068493150684931
2,Central DC,Central,20,Drug 20,414,406.2219178082192,0,189,56,-7.778082191780811,51.78082191780822,15.342465753424657
2,Central DC,Central,21,Drug 21,1079,912.5452054794521,0,238,24,-166.45479452054792,65.20547945205479,6.575342465753424
2,Central DC,Central,22,Drug 22,245,198.07397260273973,0,241,28,-46.92602739726027,66.02739726027397,7.671232876712328
2,Central DC,Central,23,Drug 23,721,581.6465753424658,0,235,50,-139.35342465753422,64.38356164383562,13.698630136986301
2,Central DC,Central,24,Drug 24,450,443.9205479452055,0,182,61,-6.079452054794501,49.863013698630134,16.71232876712329
2,Central DC,Central,25,Drug 25,807,645.2219178082191,0,233,58,-161.77808219178087,63.83561643835616,15.89041095890411
3,West DC,West,1,Drug 01,959,666.9808219178083,0,319,12,-292.01917808219173,87.3972602739726,3.287671232876712
3,West DC,West,2,Drug 02,428,384.2082191780822,0,215,19,-43.791780821917826,58.9041095890411,5.205479452054795
3,West DC,West,3,Drug 03,1007,676.0602739726028,0,313,25,-330.9397260273972,85.75342465753425,6.8493150684931505
3,West DC,West,4,Drug 04,841,645.0712328767123,0,271,21,-195.92876712328768,74.24657534246575,5.7534246575342465
3,West DC,West,5,Drug 05,401,295.65205479452055,0,288,13,-105.34794520547945,78.9041095890411,3.5616438356164384
3,West DC,West,6,Drug 06,975,731.4575342465754,0,276,21,-243.5424657534246,75.61643835616438,5.7534246575342465
3,West DC,West,7,Drug 07,204,166.46849315068494,0,233,43,-37.531506849315065,63.83561643835616,11.780821917808218
3,West DC,West,8,Drug 08,750,537.9616438356164,0,292,18,-212.03835616438357,80.0,4.931506849315069
3,West DC,West,9,Drug 09,1072,736.0465753424658,0,324,10,-335.95342465753424,88.76712328767124,2.73972602739726
3,West DC,West,10,Drug 10,611,423.76164383561644,0,310,16,-187.23835616438356,84.93150684931507,4.383561643835616
3,West DC,West,11,Drug 11,363,309.3424657534247,0,226,39,-53.657534246575324,61.917808219178085,10.684931506849315
3,West DC,West,12,Drug 12,686,489.958904109589,0,299,14,-196.041095890411,81.91780821917808,3.835616438356164
3,West DC,West,13,Drug 13,466,320.386301369863,0,278,57,-145.61369863013698,76.16438356164383,15.616438356164384
3,West DC,West,14,Drug 14,1028,776.227397260274,0,273,20,-251.77260273972604,74.79452054794521,5.47945205479452
3,West DC,West,15,Drug 15,602,462.3232876712329,0,275,18,-139.6767123287671,75.34246575342466,4.931506849315069
3,West DC,West,16,Drug 16,354,263.45753424657534,0,293,9,-90.54246575342466,80.27397260273973,2.4657534246575343
3,West DC,West,17,Drug 17,394,279.65479452054797,0,306,12,-114.34520547945203,83.83561643835617,3.287671232876712
3,West DC,West,18,Drug 18,1136,769.213698630137,0,318,16,-366.78630136986305,87.12328767123287,4.383561643835616
3,West DC,West,19,Drug 19,809,664.972602739726,0,249,16,-144.02739726027403,68.21917808219177,4.383561643835616
3,West DC,West,20,Drug 20,414,338.2931506849315,0,243,31,-75.7068493150685,66.57534246575342,8.493150684931507
3,West DC,West,21,Drug 21,1079,798.8712328767124,0,299,5,-280.1287671232876,81.91780821917808,1.36986301369863
3,West DC,West,22,Drug 22,245,175.15068493150685,0,295,20,-69.84931506849315,80.82191780821918,5.47945205479452
3,West DC,West,23,Drug 23,721,484.15342465753423,0,294,44,-236.84657534246577,80.54794520547945,12.054794520547945
3,West DC,West,24,Drug 24,450,371.7013698630137,0,234,38,-78.29863013698628,64.10958904109589,10.41095890410959
3,West DC,West,25,Drug 25,807,635.7561643835617,0,280,8,-171.24383561643833,76.71232876712328,2.191780821917808
4,South DC,South,1,Drug 01,959,698.4438356164384,0,293,14,-260.5561643835616,80.27397260273973,3.835616438356164
4,South DC,South,2,Drug 02,428,369.44109589041096,0,222,39,-58.55890410958904,60.821917808219176,10.684931506849315
4,South DC,South,3,Drug 03,1007,726.7095890410959,0,295,22,-280.2904109589041,80.82191780821918,6.027397260273973
4,South DC,South,4,Drug 04,841,669.4410958904109,0,253,24,-171.5589041095891,69.31506849315069,6.575342465753424
4,South DC,South,5,Drug 05,401,324.9945205479452,0,264,12,-76.00547945205477,72.32876712328768,3.287671232876712
4,South DC,South,6,Drug 06,975,755.9479452054794,0,257,27,-219.0520547945206,70.41095890410959,7.397260273972603
4,South DC,South,7,Drug 07,204,180.6109589041096,0,212,43,-23.389041095890406,58.082191780821915,11.780821917808218
4,South DC,South,8,Drug 08,750,549.6712328767123,0,276,29,-200.32876712328766,75.61643835616438,7.945205479452055
4,South DC,South,9,Drug 09,1072,745.613698630137,0,313,14,-326.38630136986296,85.75342465753425,3.835616438356164
4,South DC,South,10,Drug 10,611,466.5753424657534,0,284,10,-144.4246575342466,77.8082191780822,2.73972602739726
4,South DC,South,11,Drug 11,363,325.7780821917808,0,210,43,-37.22191780821919,57.534246575342465,11.780821917808218
4,South DC,South,12,Drug 12,686,522.5424657534246,0,277,14,-163.4575342465754,75.89041095890411,3.835616438356164
4,South DC,South,13,Drug 13,466,376.3917808219178,0,246,29,-89.60821917808221,67.3972602739726,7.945205479452055
4,South DC,South,14,Drug 14,1028,845.6219178082192,0,250,12,-182.37808219178078,68.4931506849315,3.287671232876712
4,South DC,South,15,Drug 15,602,491.56164383561645,0,246,18,-110.43835616438355,67.3972602739726,4.931506849315069
4,South DC,South,16,Drug 16,354,261.83561643835617,0,275,29,-92.16438356164383,75.34246575342466,7.945205479452055
4,South DC,South,17,Drug 17,394,274.3753424657534,0,291,35,-119.62465753424658,79.72602739726027,9.58904109589041
4,South DC,South,18,Drug 18,1136,864.3726027397261,0,283,9,-271.62739726027394,77.53424657534246,2.4657534246575343
4,South DC,South,19,Drug 19,809,690.4246575342465,0,230,29,-118.57534246575347,63.013698630136986,7.945205479452055
4,South DC,South,20,Drug 20,414,357.5232876712329,0,216,44,-56.47671232876712,59.178082191780824,12.054794520547945
4,South DC,South,21,Drug 21,1079,723.613698630137,0,308,23,-355.38630136986296,84.38356164383562,6.301369863013699
4,South DC,South,22,Drug 22,245,187.61917808219178,0,277,22,-57.38082191780822,75.89041095890411,6.027397260273973
4,South DC,South,23,Drug 23,721,536.7479452054795,0,273,29,-184.25205479452052,74.79452054794521,7.945205479452055
4,South DC,South,24,Drug 24,450,426.3643835616438,0,197,21,-23.63561643835618,53.97260273972603,5.7534246575342465
4,South DC,South,25,Drug 25,807,600.4164383561643,0,264,36,-206.58356164383565,72.32876712328768,9.863013698630137
5,East DC,East,1,Drug 01,959,731.2986301369863,0,275,23,-227.70136986301372,75.34246575342466,6.301369863013699
5,East DC,East,2,Drug 02,428,411.88493150684934,0,189,31,-16.11506849315066,51.78082191780822,8.493150684931507
5,East DC,East,3,Drug 03,1007,696.0630136986301,0,297,32,-310.93698630136987,81.36986301369863,8.767123287671232
5,East DC,East,4,Drug 04,841,711.654794520548,0,233,21,-129.34520547945203,63.83561643835616,5.7534246575342465
5,East DC,East,5,Drug 05,401,288.7369863013699,0,275,39,-112.26301369863012,75.34246575342466,10.684931506849315
5,East DC,East,6,Drug 06,975,736.0767123287671,0,264,34,-238.92328767123286,72.32876712328768,9.315068493150685
5,East DC,East,7,Drug 07,204,196.57534246575344,0,188,33,-7.424657534246563,51.50684931506849,9.04109589041096
5,East DC,East,8,Drug 08,750,584.7095890410959,0,255,28,-165.2904109589041,69.86301369863014,7.671232876712328
5,East DC,East,9,Drug 09,1072,767.0027397260274,0,303,12,-304.99726027397264,83.01369863013699,3.287671232876712
5,East DC,East,10,Drug 10,611,465.52876712328765,0,279,8,-145.47123287671235,76.43835616438356,2.191780821917808
5,East DC,East,11,Drug 11,363,333.82191780821915,0,200,51,-29.178082191780845,54.794520547945204,13.972602739726028
5,East DC,East,12,Drug 12,686,518.2986301369863,0,273,21,-167.70136986301372,74.79452054794521,5.7534246575342465
5,East DC,East,13,Drug 13,466,372.57260273972605,0,245,36,-93.42739726027395,67.12328767123287,9.863013698630137
5,East DC,East,14,Drug 14,1028,781.2986301369863,0,257,41,-246.70136986301372,70.41095890410959,11.232876712328768
5,East DC,East,15,Drug 15,602,508.8,0,230,25,-93.19999999999999,63.013698630136986,6.8493150684931505
5,East DC,East,16,Drug 16,354,263.1178082191781,0,272,30,-90.88219178082193,74.52054794520548,8.219178082191782
5,East DC,East,17,Drug 17,394,294.90410958904107,0,277,18,-99.09589041095893,75.89041095890411,4.931506849315069
5,East DC,East,18,Drug 18,1136,879.986301369863,0,282,7,-256.013698630137,77.26027397260275,1.917808219178082
5,East DC,East,19,Drug 19,809,682.2712328767124,0,227,34,-126.72876712328764,62.19178082191781,9.315068493150685
5,East DC,East,20,Drug 20,414,354.1397260273973,0,218,48,-59.86027397260273,59.726027397260275,13.150684931506849
5,East DC,East,21,Drug 21,1079,747.5835616438357,0,289,35,-331.41643835616435,79.17808219178082,9.58904109589041
5,East DC,East,22,Drug 22,245,201.55890410958904,0,250,16,-43.44109589041096,68.4931506849315,4.383561643835616
5,East DC,East,23,Drug 23,721,606.5095890410959,0,245,9,-114.49041095890414,67.12328767123287,2.4657534246575343
5,East DC,East,24,Drug 24,450,429.08493150684933,0,194,28,-20.91506849315067,53.15068493150685,7.671232876712328
5,East DC,East,25,Drug 25,807,614.4575342465754,0,268,21,-192.5424657534246,73.42465753424658,5.7534246575342465
