location_id,location_name,region,drug_id,drug_name,category,criticality,expiry_units,expiry_value,batches,earliest_expiry
2,Central DC,Central,8,Drug 08,Vitamin,Critical,2740,734155.6,5,2026-02-08
4,South DC,South,13,Drug 13,Respiratory,High,2940,714184.8,6,2026-08-06
2,Central DC,Central,22,Drug 22,Gastro,Standard,3194,698783.3200000001,7,2026-02-03
1,North DC,North,3,Drug 03,Cardiac,Critical,2161,675615.04,4,2026-09-02
4,South DC,South,23,Drug 23,CNS,Standard,2618,664396.04,4,2026-01-31
2,Central DC,Central,10,Drug 10,Antibiotic,High,2237,643629.64,8,2026-05-11
3,West DC,West,3,Drug 03,Cardiac,Critical,2053,641849.92,6,2026-12-14
5,East DC,East,8,Drug 08,Vitamin,Critical,2365,633678.1000000001,5,2026-02-22
1,North DC,North,8,Drug 08,Vitamin,Critical,2354,630730.76,7,2026-02-20
5,East DC,East,3,Drug 03,Cardiac,Critical,1895,592452.8,4,2026-04-15
3,West DC,West,20,Drug 20,Diabetes,Standard,2608,584478.88,7,2026-05-02
1,North DC,North,6,Drug 06,Gastro,Critical,2186,582503.42,5,2026-04-20
5,East DC,East,19,Drug 19,Cardiac,Standard,2180,569067.2000000001,6,2026-07-13
5,East DC,East,1,Drug 01,Analgesic,Critical,2246,565385.5800000001,4,2026-08-20
3,West DC,West,13,Drug 13,Respiratory,High,2319,563331.48,5,2026-05-22
2,Central DC,Central,20,Drug 20,Diabetes,Standard,2474,554448.14,7,2026-06-30
1,North DC,North,9,Drug 09,Analgesic,High,2241,553392.54,5,2026-04-15
1,North DC,North,17,Drug 17,Analgesic,High,3647,547122.9400000001,8,2026-02-11
1,North DC,North,5,Drug 05,Respiratory,Critical,4204,546435.92,8,2026-03-01
4,South DC,South,1,Drug 01,Analgesic,Critical,2085,524857.05,4,2026-03-21
3,West DC,West,6,Drug 06,Gastro,Critical,1945,518284.15,3,2026-08-14
4,South DC,South,5,Drug 05,Respiratory,Critical,3700,480926.0,8,2026-02-04
2,Central DC,Central,17,Drug 17,Analgesic,High,3188,478263.76,9,2026-04-16
2,Central DC,Central,13,Drug 13,Respiratory,High,1962,476609.04,4,2026-02-16
3,West DC,West,9,Drug 09,Analgesic,High,1820,449430.8,3,2026-03-03
1,North DC,North,14,Drug 14,Gastro,High,3453,448475.64,6,2026-03-15
3,West DC,West,14,Drug 14,Gastro,High,3241,420941.08,9,2026-06-03
2,Central DC,Central,5,Drug 05,Respiratory,Critical,3229,419705.42,6,2026-04-21
5,East DC,East,11,Drug 11,Cardiac,High,5275,405014.5,10,2026-05-26
1,North DC,North,7,Drug 07,CNS,Critical,4613,399624.19,9,2026-07-11
2,Central DC,Central,23,Drug 23,CNS,Standard,1568,397927.04000000004,4,2026-02-22
3,West DC,West,18,Drug 18,Antibiotic,Standard,3534,396974.22000000003,7,2026-04-04
4,South DC,South,19,Drug 19,Cardiac,Standard,1508,393648.32,4,2026-05-07
1,North DC,North,15,Drug 15,CNS,High,5065,380989.3,9,2026-06-21
3,West DC,West,11,Drug 11,Cardiac,High,4755,365088.9,8,2026-04-21
5,East DC,East,7,Drug 07,CNS,Critical,4137,358388.31,7,2026-02-09
2,Central DC,Central,15,Drug 15,CNS,High,4544,341799.68,9,2026-02-15
5,East DC,East,12,Drug 12,Diabetes,High,4958,320286.8,11,2026-03-21
5,East DC,East,17,Drug 17,Analgesic,High,2111,316692.22,4,2026-02-08
1,North DC,North,20,Drug 20,Diabetes,Standard,1410,315995.1,6,2026-01-31
1,North DC,North,1,Drug 01,Analgesic,Critical,1252,315165.96,4,2026-02-13
3,West DC,West,15,Drug 15,CNS,High,4164,313216.08,9,2026-07-08
4,South DC,South,10,Drug 10,Antibiotic,High,1063,305846.36,3,2026-08-24
5,East DC,East,16,Drug 16,Vitamin,High,3446,298182.38,7,2026-06-20
4,South DC,South,7,Drug 07,CNS,Critical,3364,291423.32,6,2026-06-11
3,West DC,West,17,Drug 17,Analgesic,High,1930,289538.6,5,2026-04-15
3,West DC,West,7,Drug 07,CNS,Critical,3248,281374.24,5,2026-04-07
1,North DC,North,12,Drug 12,Diabetes,High,4267,275648.2,8,2026-03-19
3,West DC,West,5,Drug 05,Respiratory,Critical,2039,265029.22,7,2026-06-07
4,South DC,South,16,Drug 16,Vitamin,High,2980,257859.4,6,2026-02-03
3,West DC,West,12,Drug 12,Diabetes,High,3966,256203.6,7,2026-02-23
5,East DC,East,15,Drug 15,CNS,High,3360,252739.2,6,2026-02-17
2,Central DC,Central,12,Drug 12,Diabetes,High,3891,251358.6,7,2026-02-02
2,Central DC,Central,11,Drug 11,Cardiac,High,3234,248306.52000000002,6,2026-02-04
3,West DC,West,21,Drug 21,Respiratory,Standard,3152,247022.24,9,2026-03-05
4,South DC,South,11,Drug 11,Cardiac,High,3159,242548.02000000002,7,2026-08-14
3,West DC,West,4,Drug 04,Diabetes,Critical,4208,238551.52000000002,9,2026-03-10
4,South DC,South,15,Drug 15,CNS,High,3163,237920.86,6,2026-02-03
1,North DC,North,21,Drug 21,Respiratory,Standard,2921,228918.77,8,2026-04-13
2,Central DC,Central,21,Drug 21,Respiratory,Standard,2909,227978.33000000002,5,2026-02-09
3,West DC,West,16,Drug 16,Vitamin,High,2587,223853.11,7,2026-02-25
4,South DC,South,24,Drug 24,Vitamin,Standard,3653,219983.66,9,2026-04-03
1,North DC,North,16,Drug 16,Vitamin,High,2490,215459.7,5,2026-04-01
5,East DC,East,24,Drug 24,Vitamin,Standard,3545,213479.9,7,2026-02-12
4,South DC,South,18,Drug 18,Antibiotic,Standard,1891,212416.03,4,2026-05-02
1,North DC,North,4,Drug 04,Diabetes,Critical,3691,209242.79,8,2026-05-30
5,East DC,East,4,Drug 04,Diabetes,Critical,3569,202326.61,10,2026-03-14
2,Central DC,Central,4,Drug 04,Diabetes,Critical,3514,199208.66,8,2026-03-01
4,South DC,South,12,Drug 12,Diabetes,High,2998,193670.8,6,2026-04-16
1,North DC,North,11,Drug 11,Cardiac,High,2416,185500.47999999998,6,2026-03-15
4,South DC,South,21,Drug 21,Respiratory,Standard,2216,173667.92,5,2026-08-02
4,South DC,South,4,Drug 04,Diabetes,Critical,2949,167178.81,6,2026-03-04
3,West DC,West,24,Drug 24,Vitamin,Standard,2659,160124.97999999998,6,2026-03-07
5,East DC,East,18,Drug 18,Antibiotic,Standard,1374,154341.41999999998,4,2027-01-07
1,North DC,North,2,Drug 02,Antibiotic,Critical,649,148367.89,3,2026-05-17
4,South DC,South,17,Drug 17,Analgesic,High,890,133517.8,2,2026-12-22
5,East DC,East,5,Drug 05,Respiratory,Critical,969,125950.62,3,2026-04-16
2,Central DC,Central,16,Drug 16,Vitamin,High,1425,123305.25,5,2026-08-24
2,Central DC,Central,7,Drug 07,CNS,Critical,1423,123274.49,4,2026-02-12
2,Central DC,Central,24,Drug 24,Vitamin,Standard,829,49922.380000000005,3,2026-05-26
5,East DC,East,21,Drug 21,Respiratory,Standard,564,44200.68,2,2026-10-15
1,North DC,North,24,Drug 24,Vitamin,Standard,391,23546.02,2,2027-02-20
