location_id,location_name,region,drug_id,drug_name,total_orders,ordered_units,received_units,late_orders,avg_planned_lead_time,avg_actual_lead_time,po_fill_rate_pct,late_rate_pct,avg_lead_time_variance
3,West DC,West,11,Drug 11,10,4754,4754,5,12.4,14.3,100.0,50.0,1.9000000000000004
2,Central DC,Central,13,Drug 13,14,7477,7367,7,18.928571428571427,19.857142857142858,98.52882171994115,50.0,0.9285714285714306
2,Central DC,Central,18,Drug 18,8,6964,6964,4,17.0,19.0,100.0,50.0,2.0
2,Central DC,Central,16,Drug 16,6,2186,2186,3,14.333333333333334,15.5,100.0,50.0,1.166666666666666
1,North DC,North,20,Drug 20,8,4894,4894,4,16.375,17.375,100.0,50.0,1.0
3,West DC,West,19,Drug 19,8,7182,7182,4,21.0,22.75,100.0,50.0,1.75
5,East DC,East,14,Drug 14,6,5527,5527,3,17.5,19.5,100.0,50.0,2.0
5,East DC,East,9,Drug 09,8,6410,6410,4,16.5,17.625,100.0,50.0,1.125
3,West DC,West,24,Drug 24,8,5318,5318,4,13.25,14.125,100.0,50.0,0.875
5,East DC,East,12,Drug 12,10,5459,5459,5,17.2,19.7,100.0,50.0,2.5
4,South DC,South,18,Drug 18,10,8488,8488,5,15.4,16.9,100.0,50.0,1.4999999999999982
1,North DC,North,11,Drug 11,10,5846,5846,5,19.6,20.8,100.0,50.0,1.1999999999999993
1,North DC,North,6,Drug 06,8,8297,8020,4,12.0,13.125,96.66144389538387,50.0,1.125
1,North DC,North,17,Drug 17,8,2352,2352,4,11.75,12.625,100.0,50.0,0.875
1,North DC,North,24,Drug 24,8,4474,4354,4,17.0,18.5,97.31783638801967,50.0,1.5
2,Central DC,Central,23,Drug 23,6,4352,4352,3,20.666666666666668,22.333333333333332,100.0,50.0,1.6666666666666643
2,Central DC,Central,24,Drug 24,4,2452,2452,2,15.5,16.5,100.0,50.0,1.0
3,West DC,West,8,Drug 08,11,9135,9135,5,16.636363636363637,17.454545454545453,100.0,45.45454545454545,0.8181818181818166
1,North DC,North,1,Drug 01,11,10004,10004,5,15.909090909090908,17.363636363636363,100.0,45.45454545454545,1.454545454545455
3,West DC,West,3,Drug 03,11,9463,9463,5,12.636363636363637,14.090909090909092,100.0,45.45454545454545,1.454545454545455
5,East DC,East,1,Drug 01,11,8404,8003,5,15.636363636363637,16.818181818181817,95.2284626368396,45.45454545454545,1.1818181818181799
5,East DC,East,4,Drug 04,9,7001,7001,4,15.333333333333334,16.0,100.0,44.44444444444444,0.6666666666666661
1,North DC,North,5,Drug 05,9,2832,2832,4,12.666666666666666,14.0,100.0,44.44444444444444,1.333333333333334
1,North DC,North,16,Drug 16,9,2920,2920,4,15.0,16.555555555555557,100.0,44.44444444444444,1.5555555555555571
3,West DC,West,12,Drug 12,9,5362,5362,4,20.444444444444443,21.0,100.0,44.44444444444444,0.5555555555555571
1,North DC,North,12,Drug 12,14,9315,9290,6,19.642857142857142,20.857142857142858,99.73161567364465,42.857142857142854,1.2142857142857153
2,Central DC,Central,12,Drug 12,14,8781,8660,6,17.214285714285715,18.571428571428573,98.62202482632958,42.857142857142854,1.3571428571428577
1,North DC,North,10,Drug 10,7,3574,3574,3,15.857142857142858,17.428571428571427,100.0,42.857142857142854,1.5714285714285694
4,South DC,South,21,Drug 21,7,7241,7241,3,15.142857142857142,16.428571428571427,100.0,42.857142857142854,1.2857142857142847
3,West DC,West,22,Drug 22,7,1268,1268,3,17.571428571428573,20.0,100.0,42.857142857142854,2.428571428571427
1,North DC,North,14,Drug 14,7,6320,6185,3,11.857142857142858,12.714285714285714,97.86392405063292,42.857142857142854,0.8571428571428559
5,East DC,East,13,Drug 13,12,6707,6707,5,16.083333333333332,16.833333333333332,100.0,41.666666666666664,0.75
5,East DC,East,2,Drug 02,12,6423,6423,5,14.0,14.833333333333334,100.0,41.666666666666664,0.8333333333333339
2,Central DC,Central,22,Drug 22,10,2170,2170,4,17.3,18.7,100.0,40.0,1.3999999999999986
4,South DC,South,19,Drug 19,10,8851,8851,4,13.9,14.8,100.0,40.0,0.9000000000000004
4,South DC,South,1,Drug 01,10,7286,7286,4,12.0,13.3,100.0,40.0,1.3000000000000007
1,North DC,North,13,Drug 13,13,6146,6126,5,15.461538461538462,16.153846153846153,99.6745850959974,38.46153846153846,0.6923076923076916
5,East DC,East,19,Drug 19,13,12915,12915,5,16.76923076923077,17.76923076923077,100.0,38.46153846153846,1.0
4,South DC,South,16,Drug 16,8,2025,1994,3,16.75,17.625,98.46913580246914,37.5,0.875
1,North DC,North,23,Drug 23,8,5770,5713,3,16.125,17.875,99.01213171577123,37.5,1.75
3,West DC,West,9,Drug 09,8,6375,6204,3,17.125,18.625,97.31764705882352,37.5,1.5
1,North DC,North,25,Drug 25,8,5917,5917,3,17.125,18.5,100.0,37.5,1.375
3,West DC,West,16,Drug 16,11,3451,3451,4,15.545454545454545,16.0,100.0,36.36363636363637,0.45454545454545503
2,Central DC,Central,9,Drug 09,11,9433,9433,4,13.090909090909092,14.363636363636363,100.0,36.36363636363637,1.2727272727272716
2,Central DC,Central,4,Drug 04,11,10292,10139,4,18.09090909090909,18.727272727272727,98.51340847260008,36.36363636363637,0.6363636363636367
4,South DC,South,7,Drug 07,11,3229,3229,4,16.272727272727273,17.09090909090909,100.0,36.36363636363637,0.8181818181818166
4,South DC,South,15,Drug 15,11,6917,6917,4,13.363636363636363,14.818181818181818,100.0,36.36363636363637,1.454545454545455
4,South DC,South,23,Drug 23,11,7225,7225,4,14.0,14.727272727272727,100.0,36.36363636363637,0.7272727272727266
5,East DC,East,15,Drug 15,11,6655,6519,4,12.636363636363637,13.363636363636363,97.95642374154771,36.36363636363637,0.7272727272727266
2,Central DC,Central,17,Drug 17,11,3895,3895,4,17.454545454545453,18.727272727272727,100.0,36.36363636363637,1.2727272727272734
3,West DC,West,17,Drug 17,14,4682,4682,5,13.642857142857142,15.428571428571429,100.0,35.714285714285715,1.7857142857142865
4,South DC,South,6,Drug 06,6,4419,4419,2,10.5,11.166666666666666,100.0,33.333333333333336,0.6666666666666661
3,West DC,West,21,Drug 21,9,8345,8345,3,13.555555555555555,15.222222222222221,100.0,33.333333333333336,1.666666666666666
3,West DC,West,2,Drug 02,9,5143,5143,3,11.88888888888889,12.333333333333334,100.0,33.333333333333336,0.44444444444444464
5,East DC,East,20,Drug 20,6,3584,3584,2,13.833333333333334,15.0,100.0,33.333333333333336,1.166666666666666
2,Central DC,Central,3,Drug 03,12,10238,10238,4,15.5,16.25,100.0,33.333333333333336,0.75
2,Central DC,Central,1,Drug 01,9,6982,6840,3,13.333333333333334,15.0,97.96619879690633,33.333333333333336,1.666666666666666
1,North DC,North,21,Drug 21,13,12571,12409,4,19.53846153846154,20.076923076923077,98.71131970408082,30.76923076923077,0.5384615384615365
2,Central DC,Central,11,Drug 11,13,6889,6889,4,9.76923076923077,10.538461538461538,100.0,30.76923076923077,0.7692307692307683
5,East DC,East,23,Drug 23,13,8501,8347,4,14.461538461538462,15.076923076923077,98.1884484178332,30.76923076923077,0.615384615384615
3,West DC,West,18,Drug 18,10,9194,9194,3,16.2,16.6,100.0,30.0,0.40000000000000213
4,South DC,South,10,Drug 10,10,4939,4939,3,14.6,14.9,100.0,30.0,0.3000000000000007
4,South DC,South,24,Drug 24,10,5447,5447,3,14.9,15.3,100.0,30.0,0.40000000000000036
5,East DC,East,21,Drug 21,7,7007,7007,2,20.428571428571427,21.428571428571427,100.0,28.571428571428573,1.0
2,Central DC,Central,2,Drug 02,7,4310,4310,2,12.428571428571429,13.571428571428571,100.0,28.571428571428573,1.1428571428571423
4,South DC,South,5,Drug 05,7,2343,2343,2,10.0,11.142857142857142,100.0,28.571428571428573,1.1428571428571423
4,South DC,South,12,Drug 12,7,4650,4631,2,16.714285714285715,17.857142857142858,99.59139784946237,28.571428571428573,1.1428571428571423
3,West DC,West,1,Drug 01,7,5590,5590,2,15.142857142857142,15.714285714285714,100.0,28.571428571428573,0.5714285714285712
3,West DC,West,13,Drug 13,11,5996,5996,3,13.818181818181818,14.363636363636363,100.0,27.272727272727273,0.545454545454545
4,South DC,South,2,Drug 02,11,6915,6915,3,11.545454545454545,12.272727272727273,100.0,27.272727272727273,0.7272727272727284
3,West DC,West,25,Drug 25,15,12353,12353,4,13.866666666666667,14.466666666666667,100.0,26.666666666666668,0.5999999999999996
5,East DC,East,24,Drug 24,8,4426,4426,2,11.875,12.375,100.0,25.0,0.5
5,East DC,East,18,Drug 18,8,7875,7875,2,19.0,19.375,100.0,25.0,0.375
1,North DC,North,18,Drug 18,8,9093,9093,2,14.75,15.25,100.0,25.0,0.5
3,West DC,West,4,Drug 04,12,10583,10583,3,17.0,18.166666666666668,100.0,25.0,1.1666666666666679
2,Central DC,Central,8,Drug 08,13,7667,7533,3,12.23076923076923,13.23076923076923,98.25224990217816,23.076923076923077,1.0
1,North DC,North,4,Drug 04,9,7114,7114,2,13.555555555555555,14.11111111111111,100.0,22.22222222222222,0.5555555555555554
4,South DC,South,13,Drug 13,9,5014,4992,2,18.555555555555557,19.22222222222222,99.5612285600319,22.22222222222222,0.6666666666666643
3,West DC,West,7,Drug 07,14,3713,3713,3,16.071428571428573,16.642857142857142,100.0,21.428571428571427,0.5714285714285694
4,South DC,South,3,Drug 03,14,11949,11949,3,13.214285714285714,13.428571428571429,100.0,21.428571428571427,0.2142857142857153
5,East DC,East,25,Drug 25,15,12203,12203,3,16.933333333333334,17.266666666666666,100.0,20.0,0.33333333333333215
1,North DC,North,8,Drug 08,5,2919,2791,1,14.8,16.2,95.61493662213087,20.0,1.3999999999999986
2,Central DC,Central,6,Drug 06,5,6071,6071,1,12.2,12.6,100.0,20.0,0.40000000000000036
5,East DC,East,16,Drug 16,10,3174,3174,2,12.7,13.6,100.0,20.0,0.9000000000000004
3,West DC,West,15,Drug 15,16,8979,8979,3,13.875,14.4375,100.0,18.75,0.5625
4,South DC,South,11,Drug 11,11,5766,5766,2,13.181818181818182,13.636363636363637,100.0,18.181818181818183,0.45454545454545503
4,South DC,South,8,Drug 08,11,8365,8365,2,15.272727272727273,16.181818181818183,100.0,18.181818181818183,0.9090909090909101
3,West DC,West,20,Drug 20,7,3673,3673,1,16.571428571428573,17.571428571428573,100.0,14.285714285714286,1.0
5,East DC,East,22,Drug 22,8,1508,1508,1,18.5,19.125,100.0,12.5,0.625
1,North DC,North,2,Drug 02,10,7036,7036,1,11.5,11.7,100.0,10.0,0.1999999999999993
4,South DC,South,22,Drug 22,6,1244,1244,0,20.5,20.5,100.0,0.0,0.0
