date,drug_id,location_id,demand_qty,fulfilled_qty,stockout_flag
2026-01-01,18,1,155,155,0
2026-01-01,18,2,199,199,0
2026-01-01,18,3,121,121,0
2026-01-01,18,4,146,146,0
2026-01-01,18,5,157,157,0
2026-01-01,19,1,171,171,0
2026-01-01,19,2,198,198,0
2026-01-01,19,3,129,129,0
2026-01-01,19,4,166,166,0
2026-01-01,19,5,158,158,0
2026-01-01,20,1,107,107,0
2026-01-01,20,2,126,126,0
2026-01-01,20,3,71,71,0
2026-01-01,20,4,109,109,0
2026-01-01,20,5,101,101,0
2026-01-01,21,1,144,144,0
2026-01-01,21,2,183,183,0
2026-01-01,21,3,138,138,0
2026-01-01,21,4,151,151,0
2026-01-01,21,5,152,152,0
2026-01-01,22,1,39,39,0
2026-01-01,22,2,37,37,0
2026-01-01,22,3,21,21,0
2026-01-01,22,4,34,34,0
2026-01-01,22,5,45,45,0
2026-01-01,23,1,114,114,0
2026-01-01,23,2,143,143,0
2026-01-01,23,3,109,109,0
2026-01-01,23,4,153,153,0
2026-01-01,23,5,111,111,0
2026-01-01,24,1,118,118,0
2026-01-01,24,2,140,140,0
2026-01-01,24,3,88,88,0
2026-01-01,24,4,96,96,0
2026-01-01,24,5,98,98,0
2026-01-01,25,1,123,123,0
2026-01-01,25,2,159,159,0
2026-01-01,25,3,116,116,0
2026-01-01,25,4,126,126,0
2026-01-01,25,5,147,147,0
2026-01-02,1,1,146,146,0
2026-01-02,1,2,171,171,0
2026-01-02,1,3,117,117,0
2026-01-02,1,4,108,108,0
2026-01-02,1,5,128,128,0
2026-01-02,2,1,113,113,0
2026-01-02,2,2,134,134,0
2026-01-02,2,3,63,63,0
2026-01-02,2,4,99,99,0
2026-01-02,2,5,141,141,0
2026-01-02,3,1,138,138,0
2026-01-02,3,2,184,184,0
2026-01-02,3,3,136,136,0
2026-01-02,3,4,148,148,0
2026-01-02,3,5,134,134,0
2026-01-02,4,1,144,144,0
2026-01-02,4,2,159,159,0
2026-01-02,4,3,117,117,0
2026-01-02,4,4,145,145,0
2026-01-02,4,5,165,165,0
2026-01-02,5,1,61,61,0
2026-01-02,5,2,80,80,0
2026-01-02,5,3,53,53,0
2026-01-02,5,4,52,52,0
2026-01-02,5,5,62,62,0
2026-01-02,6,1,184,184,0
2026-01-02,6,2,204,204,0
2026-01-02,6,3,136,136,0
2026-01-02,6,4,172,172,0
2026-01-02,6,5,181,181,0
2026-01-02,7,1,40,40,0
2026-01-02,7,2,81,81,0
2026-01-02,7,3,76,76,0
2026-01-02,7,4,40,40,0
2026-01-02,7,5,64,64,0
2026-01-02,8,1,105,105,0
2026-01-02,8,2,151,151,0
2026-01-02,8,3,128,128,0
2026-01-02,8,4,109,109,0
2026-01-02,8,5,125,125,0
2026-01-02,9,1,137,137,0
2026-01-02,9,2,177,177,0
2026-01-02,9,3,136,136,0
2026-01-02,9,4,184,184,0
2026-01-02,9,5,164,164,0
2026-01-02,10,1,81,81,0
2026-01-02,10,2,111,111,0
2026-01-02,10,3,101,101,0
2026-01-02,10,4,93,93,0
2026-01-02,10,5,94,94,0
2026-01-02,11,1,108,108,0
2026-01-02,11,2,120,120,0
2026-01-02,11,3,77,77,0
2026-01-02,11,4,105,105,0
2026-01-02,11,5,83,83,0
2026-01-02,12,1,114,114,0
2026-01-02,12,2,122,122,0
2026-01-02,12,3,74,74,0
2026-01-02,12,4,86,86,0
2026-01-02,12,5,89,89,0
2026-01-02,13,1,94,94,0
2026-01-02,13,2,87,87,0
2026-01-02,13,3,106,106,0
2026-01-02,13,4,86,86,0
2026-01-02,13,5,81,81,0
2026-01-02,14,1,180,180,0
2026-01-02,14,2,222,222,0
2026-01-02,14,3,197,197,0
2026-01-02,14,4,179,179,0
2026-01-02,14,5,171,171,0
2026-01-02,15,1,135,135,0
2026-01-02,15,2,117,117,0
2026-01-02,15,3,100,100,0
2026-01-02,15,4,104,104,0
2026-01-02,15,5,104,104,0
2026-01-02,16,1,65,65,0
2026-01-02,16,2,79,79,0
2026-01-02,16,3,43,43,0
2026-01-02,16,4,52,52,0
2026-01-02,16,5,67,67,0
2026-01-02,17,1,58,58,0
2026-01-02,17,2,63,63,0
2026-01-02,17,3,66,66,0
2026-01-02,17,4,50,50,0
2026-01-02,17,5,59,59,0
2026-01-02,18,1,132,132,0
2026-01-02,18,2,200,200,0
2026-01-02,18,3,123,123,0
2026-01-02,18,4,176,176,0
2026-01-02,18,5,148,148,0
2026-01-02,19,1,180,180,0
2026-01-02,19,2,181,181,0
2026-01-02,19,3,148,148,0
2026-01-02,19,4,142,142,0
2026-01-02,19,5,167,167,0
2026-01-02,20,1,116,116,0
2026-01-02,20,2,98,98,0
2026-01-02,20,3,68,68,0
2026-01-02,20,4,79,79,0
2026-01-02,20,5,104,104,0
2026-01-02,21,1,149,149,0
2026-01-02,21,2,201,201,0
2026-01-02,21,3,130,130,0
2026-01-02,21,4,128,128,0
2026-01-02,21,5,151,151,0
2026-01-02,22,1,39,39,0
2026-01-02,22,2,25,25,0
2026-01-02,22,3,28,28,0
2026-01-02,22,4,32,32,0
2026-01-02,22,5,41,41,0
2026-01-02,23,1,189,189,0
2026-01-02,23,2,138,138,0
2026-01-02,23,3,106,106,0
2026-01-02,23,4,128,128,0
2026-01-02,23,5,108,108,0
2026-01-02,24,1,93,93,0
2026-01-02,24,2,123,123,0
2026-01-02,24,3,92,92,0
2026-01-02,24,4,99,99,0
2026-01-02,24,5,96,96,0
2026-01-02,25,1,149,149,0
2026-01-02,25,2,180,180,0
2026-01-02,25,3,111,111,0
2026-01-02,25,4,147,147,0
2026-01-02,25,5,126,126,0
2026-01-03,1,1,136,136,0
2026-01-03,1,2,167,167,0
2026-01-03,1,3,108,108,0
2026-01-03,1,4,129,129,0
2026-01-03,1,5,118,118,0
2026-01-03,2,1,95,95,0
2026-01-03,2,2,115,115,0
2026-01-03,2,3,88,88,0
2026-01-03,2,4,95,95,0
2026-01-03,2,5,102,102,0
2026-01-03,3,1,195,195,0
2026-01-03,3,2,173,173,0
2026-01-03,3,3,119,119,0
2026-01-03,3,4,128,128,0
2026-01-03,3,5,146,146,0
2026-01-03,4,1,173,173,0
2026-01-03,4,2,193,193,0
2026-01-03,4,3,122,122,0
2026-01-03,4,4,131,131,0
2026-01-03,4,5,142,142,0
2026-01-03,5,1,99,99,0
2026-01-03,5,2,72,72,0
2026-01-03,5,3,43,43,0
2026-01-03,5,4,50,50,0
2026-01-03,5,5,64,64,0
2026-01-03,6,1,153,153,0
2026-01-03,6,2,202,202,0
2026-01-03,6,3,127,127,0
2026-01-03,6,4,158,158,0
2026-01-03,6,5,177,177,0
2026-01-03,7,1,39,39,0
2026-01-03,7,2,56,56,0
2026-01-03,7,3,38,38,0
2026-01-03,7,4,53,53,0
2026-01-03,7,5,54,54,0
2026-01-03,8,1,137,137,0
2026-01-03,8,2,126,126,0
2026-01-03,8,3,106,106,0
2026-01-03,8,4,145,145,0
2026-01-03,8,5,120,120,0
2026-01-03,9,1,129,129,0
2026-01-03,9,2,172,172,0
2026-01-03,9,3,113,113,0
2026-01-03,9,4,139,139,0
2026-01-03,9,5,135,135,0
2026-01-03,10,1,82,82,0
2026-01-03,10,2,91,91,0
2026-01-03,10,3,82,82,0
2026-01-03,10,4,70,70,0
2026-01-03,10,5,83,83,0
2026-01-03,11,1,104,104,0
2026-01-03,11,2,114,114,0
2026-01-03,11,3,76,76,0
2026-01-03,11,4,120,120,0
2026-01-03,11,5,90,90,0
2026-01-03,12,1,105,105,0
2026-01-03,12,2,130,130,0
2026-01-03,12,3,88,88,0
2026-01-03,12,4,137,137,0
2026-01-03,12,5,93,93,0
2026-01-03,13,1,92,92,0
2026-01-03,13,2,89,89,0
2026-01-03,13,3,66,66,0
2026-01-03,13,4,70,70,0
2026-01-03,13,5,78,78,0
2026-01-03,14,1,238,238,0
2026-01-03,14,2,213,213,0
2026-01-03,14,3,138,138,0
2026-01-03,14,4,147,147,0
2026-01-03,14,5,180,180,0
2026-01-03,15,1,116,116,0
2026-01-03,15,2,125,125,0
2026-01-03,15,3,89,89,0
2026-01-03,15,4,97,97,0
2026-01-03,15,5,99,99,0
2026-01-03,16,1,46,46,0
2026-01-03,16,2,69,69,0
2026-01-03,16,3,44,44,0
2026-01-03,16,4,64,64,0
2026-01-03,16,5,52,52,0
2026-01-03,17,1,65,65,0
2026-01-03,17,2,69,69,0
2026-01-03,17,3,42,42,0
2026-01-03,17,4,48,48,0
2026-01-03,17,5,52,52,0
2026-01-03,18,1,225,225,0
2026-01-03,18,2,224,224,0
2026-01-03,18,3,182,182,0
2026-01-03,18,4,207,207,0
2026-01-03,18,5,165,165,0
2026-01-03,19,1,164,164,0
2026-01-03,19,2,190,190,0
2026-01-03,19,3,136,136,0
2026-01-03,19,4,160,160,0
2026-01-03,19,5,173,173,0
2026-01-03,20,1,109,109,0
2026-01-03,20,2,125,125,0
2026-01-03,20,3,76,76,0
2026-01-03,20,4,74,74,0
2026-01-03,20,5,85,85,0
2026-01-03,21,1,158,158,0
2026-01-03,21,2,196,196,0
2026-01-03,21,3,130,130,0
2026-01-03,21,4,132,132,0
2026-01-03,21,5,178,178,0
2026-01-03,22,1,59,59,0
2026-01-03,22,2,54,54,0
2026-01-03,22,3,30,30,0
2026-01-03,22,4,41,41,0
2026-01-03,22,5,28,28,0
2026-01-03,23,1,108,108,0
2026-01-03,23,2,147,147,0
2026-01-03,23,3,92,92,0
2026-01-03,23,4,93,93,0
2026-01-03,23,5,101,101,0
2026-01-03,24,1,108,108,0
2026-01-03,24,2,134,134,0
2026-01-03,24,3,83,83,0
2026-01-03,24,4,80,80,0
2026-01-03,24,5,100,100,0
2026-01-03,25,1,103,103,0
2026-01-03,25,2,162,162,0
2026-01-03,25,3,101,101,0
2026-01-03,25,4,101,101,0
2026-01-03,25,5,148,148,0
2026-01-04,1,1,125,125,0
2026-01-04,1,2,156,156,0
2026-01-04,1,3,108,108,0
2026-01-04,1,4,133,133,0
2026-01-04,1,5,124,124,0
2026-01-04,2,1,95,95,0
2026-01-04,2,2,145,145,0
2026-01-04,2,3,84,84,0
2026-01-04,2,4,93,93,0
2026-01-04,2,5,80,80,0
2026-01-04,3,1,154,154,0
2026-01-04,3,2,197,197,0
2026-01-04,3,3,125,125,0
2026-01-04,3,4,149,149,0
2026-01-04,3,5,137,137,0
2026-01-04,4,1,153,153,0
2026-01-04,4,2,170,170,0
2026-01-04,4,3,113,113,0
2026-01-04,4,4,156,156,0
2026-01-04,4,5,175,175,0
2026-01-04,5,1,59,59,0
2026-01-04,5,2,82,82,0
2026-01-04,5,3,52,52,0
2026-01-04,5,4,59,59,0
2026-01-04,5,5,61,61,0
2026-01-04,6,1,192,192,0
2026-01-04,6,2,201,201,0
2026-01-04,6,3,143,143,0
2026-01-04,6,4,171,171,0
2026-01-04,6,5,153,153,0
2026-01-04,7,1,48,48,0
2026-01-04,7,2,75,75,0
2026-01-04,7,3,43,43,0
2026-01-04,7,4,52,52,0
2026-01-04,7,5,48,48,0
2026-01-04,8,1,123,123,0
2026-01-04,8,2,134,134,0
2026-01-04,8,3,113,113,0
2026-01-04,8,4,102,102,0
2026-01-04,8,5,111,111,0
2026-01-04,9,1,176,176,0
2026-01-04,9,2,200,200,0
2026-01-04,9,3,122,122,0
2026-01-04,9,4,141,141,0
2026-01-04,9,5,149,149,0
2026-01-04,10,1,84,84,0
2026-01-04,10,2,117,117,0
2026-01-04,10,3,66,66,0
2026-01-04,10,4,58,58,0
2026-01-04,10,5,71,71,0
2026-01-04,11,1,88,88,0
2026-01-04,11,2,107,107,0
2026-01-04,11,3,78,78,0
2026-01-04,11,4,81,81,0
2026-01-04,11,5,80,80,0
2026-01-04,12,1,92,92,0
2026-01-04,12,2,117,117,0
2026-01-04,12,3,96,96,0
2026-01-04,12,4,90,90,0
2026-01-04,12,5,100,100,0
2026-01-04,13,1,82,82,0
2026-01-04,13,2,123,123,0
2026-01-04,13,3,70,70,0
2026-01-04,13,4,72,72,0
2026-01-04,13,5,95,95,0
2026-01-04,14,1,186,186,0
2026-01-04,14,2,211,211,0
2026-01-04,14,3,150,150,0
2026-01-04,14,4,189,189,0
2026-01-04,14,5,183,183,0
2026-01-04,15,1,112,112,0
2026-01-04,15,2,110,110,0
2026-01-04,15,3,81,81,0
2026-01-04,15,4,111,111,0
2026-01-04,15,5,98,98,0
2026-01-04,16,1,64,64,0
2026-01-04,16,2,72,72,0
2026-01-04,16,3,54,54,0
2026-01-04,16,4,66,66,0
2026-01-04,16,5,48,48,0
2026-01-04,17,1,72,72,0
2026-01-04,17,2,80,80,0
2026-01-04,17,3,54,54,0
2026-01-04,17,4,55,55,0
2026-01-04,17,5,51,51,0
2026-01-04,18,1,158,158,0
2026-01-04,18,2,219,219,0
2026-01-04,18,3,117,117,0
2026-01-04,18,4,126,126,0
2026-01-04,18,5,159,159,0
2026-01-04,19,1,171,171,0
2026-01-04,19,2,195,195,0
2026-01-04,19,3,122,122,0
2026-01-04,19,4,136,136,0
2026-01-04,19,5,152,152,0
2026-01-04,20,1,79,79,0
2026-01-04,20,2,105,105,0
2026-01-04,20,3,72,72,0
2026-01-04,20,4,88,88,0
2026-01-04,20,5,95,95,0
2026-01-04,21,1,166,166,0
2026-01-04,21,2,186,186,0
2026-01-04,21,3,127,127,0
2026-01-04,21,4,146,146,0
2026-01-04,21,5,152,152,0
2026-01-04,22,1,38,38,0
2026-01-04,22,2,50,50,0
2026-01-04,22,3,30,30,0
2026-01-04,22,4,34,34,0
2026-01-04,22,5,30,30,0
2026-01-04,23,1,176,176,0
2026-01-04,23,2,147,147,0
2026-01-04,23,3,87,87,0
2026-01-04,23,4,107,107,0
2026-01-04,23,5,133,133,0
2026-01-04,24,1,98,98,0
2026-01-04,24,2,119,119,0
2026-01-04,24,3,90,90,0
2026-01-04,24,4,87,87,0
2026-01-04,24,5,96,96,0
2026-01-04,25,1,147,147,0
2026-01-04,25,2,164,164,0
2026-01-04,25,3,114,114,0
2026-01-04,25,4,118,118,0
2026-01-04,25,5,118,118,0
2026-01-05,1,1,138,138,0
2026-01-05,1,2,149,149,0
2026-01-05,1,3,90,90,0
2026-01-05,1,4,111,111,0
2026-01-05,1,5,109,109,0
2026-01-05,2,1,120,120,0
2026-01-05,2,2,131,131,0
2026-01-05,2,3,84,84,0
2026-01-05,2,4,121,121,0
2026-01-05,2,5,126,126,0
2026-01-05,3,1,147,147,0
2026-01-05,3,2,191,191,0
2026-01-05,3,3,167,167,0
2026-01-05,3,4,132,132,0
2026-01-05,3,5,170,170,0
2026-01-05,4,1,132,132,0
2026-01-05,4,2,187,187,0
2026-01-05,4,3,111,111,0
2026-01-05,4,4,147,147,0
2026-01-05,4,5,146,146,0
2026-01-05,5,1,70,70,0
2026-01-05,5,2,95,95,0
2026-01-05,5,3,50,50,0
2026-01-05,5,4,61,61,0
2026-01-05,5,5,52,52,0
2026-01-05,6,1,173,173,0
2026-01-05,6,2,203,203,0
2026-01-05,6,3,145,145,0
2026-01-05,6,4,167,167,0
2026-01-05,6,5,170,170,0
2026-01-05,7,1,55,55,0
2026-01-05,7,2,51,51,0
2026-01-05,7,3,55,55,0
2026-01-05,7,4,48,48,0
2026-01-05,7,5,38,38,0
2026-01-05,8,1,118,118,0
2026-01-05,8,2,148,148,0
2026-01-05,8,3,94,94,0
2026-01-05,8,4,119,119,0
2026-01-05,8,5,120,120,0
2026-01-05,9,1,146,146,0
2026-01-05,9,2,170,170,0
2026-01-05,9,3,116,116,0
2026-01-05,9,4,155,155,0
2026-01-05,9,5,118,118,0
2026-01-05,10,1,91,91,0
2026-01-05,10,2,101,101,0
2026-01-05,10,3,87,87,0
2026-01-05,10,4,87,87,0
2026-01-05,10,5,82,82,0
2026-01-05,11,1,94,94,0
2026-01-05,11,2,105,105,0
2026-01-05,11,3,63,63,0
2026-01-05,11,4,71,71,0
2026-01-05,11,5,91,91,0
2026-01-05,12,1,96,96,0
2026-01-05,12,2,156,156,0
2026-01-05,12,3,140,140,0
2026-01-05,12,4,91,91,0
2026-01-05,12,5,93,93,0
2026-01-05,13,1,88,88,0
2026-01-05,13,2,130,130,0
2026-01-05,13,3,71,71,0
2026-01-05,13,4,82,82,0
2026-01-05,13,5,83,83,0
2026-01-05,14,1,197,197,0
2026-01-05,14,2,235,235,0
2026-01-05,14,3,131,131,0
2026-01-05,14,4,135,135,0
2026-01-05,14,5,172,172,0
2026-01-05,15,1,101,101,0
2026-01-05,15,2,126,126,0
2026-01-05,15,3,76,76,0
2026-01-05,15,4,109,109,0
2026-01-05,15,5,92,92,0
2026-01-05,16,1,51,51,0
2026-01-05,16,2,91,91,0
2026-01-05,16,3,47,47,0
2026-01-05,16,4,45,45,0
2026-01-05,16,5,64,64,0
2026-01-05,17,1,63,63,0
2026-01-05,17,2,63,63,0
2026-01-05,17,3,49,49,0
2026-01-05,17,4,43,43,0
2026-01-05,17,5,54,54,0
2026-01-05,18,1,161,161,0
2026-01-05,18,2,169,169,0
2026-01-05,18,3,127,127,0
2026-01-05,18,4,165,165,0
2026-01-05,18,5,151,151,0
2026-01-05,19,1,156,156,0
2026-01-05,19,2,188,188,0
2026-01-05,19,3,129,129,0
2026-01-05,19,4,146,146,0
2026-01-05,19,5,159,159,0
2026-01-05,20,1,76,76,0
2026-01-05,20,2,98,98,0
2026-01-05,20,3,85,85,0
2026-01-05,20,4,91,91,0
2026-01-05,20,5,83,83,0
2026-01-05,21,1,157,157,0
2026-01-05,21,2,177,177,0
2026-01-05,21,3,139,139,0
2026-01-05,21,4,152,152,0
2026-01-05,21,5,145,145,0
2026-01-05,22,1,23,23,0
2026-01-05,22,2,51,51,0
2026-01-05,22,3,30,30,0
2026-01-05,22,4,36,36,0
2026-01-05,22,5,30,30,0
2026-01-05,23,1,164,164,0
2026-01-05,23,2,122,122,0
2026-01-05,23,3,89,89,0
2026-01-05,23,4,113,113,0
2026-01-05,23,5,122,122,0
2026-01-05,24,1,109,109,0
2026-01-05,24,2,106,106,0
2026-01-05,24,3,93,93,0
2026-01-05,24,4,145,145,0
2026-01-05,24,5,93,93,0
2026-01-05,25,1,148,148,0
2026-01-05,25,2,176,176,0
2026-01-05,25,3,125,125,0
2026-01-05,25,4,115,115,0
2026-01-05,25,5,129,129,0
2026-01-06,1,1,128,128,0
2026-01-06,1,2,180,180,0
2026-01-06,1,3,117,117,0
2026-01-06,1,4,149,149,0
2026-01-06,1,5,139,139,0
2026-01-06,2,1,151,151,0
2026-01-06,2,2,115,115,0
2026-01-06,2,3,86,86,0
2026-01-06,2,4,108,108,0
2026-01-06,2,5,93,93,0
2026-01-06,3,1,147,147,0
2026-01-06,3,2,179,179,0
2026-01-06,3,3,130,130,0
2026-01-06,3,4,143,143,0
2026-01-06,3,5,152,152,0
2026-01-06,4,1,147,147,0
2026-01-06,4,2,186,186,0
2026-01-06,4,3,112,112,0
2026-01-06,4,4,186,186,0
2026-01-06,4,5,149,149,0
2026-01-06,5,1,68,68,0
2026-01-06,5,2,78,78,0
2026-01-06,5,3,62,62,0
2026-01-06,5,4,61,61,0
2026-01-06,5,5,70,70,0
2026-01-06,6,1,196,196,0
2026-01-06,6,2,195,195,0
2026-01-06,6,3,170,170,0
2026-01-06,6,4,175,175,0
2026-01-06,6,5,183,183,0
2026-01-06,7,1,49,49,0
2026-01-06,7,2,71,71,0
2026-01-06,7,3,41,41,0
2026-01-06,7,4,71,71,0
2026-01-06,7,5,62,62,0
2026-01-06,8,1,119,119,0
2026-01-06,8,2,131,131,0
2026-01-06,8,3,90,90,0
2026-01-06,8,4,106,106,0
2026-01-06,8,5,133,133,0
2026-01-06,9,1,148,148,0
2026-01-06,9,2,175,175,0
2026-01-06,9,3,117,117,0
2026-01-06,9,4,122,122,0
2026-01-06,9,5,174,174,0
2026-01-06,10,1,91,91,0
2026-01-06,10,2,137,137,0
2026-01-06,10,3,90,90,0
2026-01-06,10,4,86,86,0
2026-01-06,10,5,87,87,0
2026-01-06,11,1,68,68,0
2026-01-06,11,2,112,112,0
2026-01-06,11,3,78,78,0
2026-01-06,11,4,90,90,0
2026-01-06,11,5,86,86,0
2026-01-06,12,1,107,107,0
2026-01-06,12,2,134,134,0
2026-01-06,12,3,103,103,0
2026-01-06,12,4,95,95,0
2026-01-06,12,5,73,73,0
2026-01-06,13,1,85,85,0
2026-01-06,13,2,126,126,0
2026-01-06,13,3,69,69,0
2026-01-06,13,4,77,77,0
2026-01-06,13,5,90,90,0
2026-01-06,14,1,185,185,0
2026-01-06,14,2,222,222,0
2026-01-06,14,3,139,139,0
2026-01-06,14,4,176,176,0
2026-01-06,14,5,194,194,0
2026-01-06,15,1,118,118,0
2026-01-06,15,2,140,140,0
2026-01-06,15,3,104,104,0
2026-01-06,15,4,83,83,0
2026-01-06,15,5,100,100,0
2026-01-06,16,1,42,42,0
2026-01-06,16,2,70,70,0
2026-01-06,16,3,45,45,0
2026-01-06,16,4,58,58,0
2026-01-06,16,5,62,62,0
2026-01-06,17,1,56,56,0
2026-01-06,17,2,67,67,0
2026-01-06,17,3,47,47,0
2026-01-06,17,4,63,63,0
2026-01-06,17,5,63,63,0
2026-01-06,18,1,172,172,0
2026-01-06,18,2,184,184,0
2026-01-06,18,3,124,124,0
2026-01-06,18,4,151,151,0
2026-01-06,18,5,143,143,0
2026-01-06,19,1,150,150,0
2026-01-06,19,2,200,200,0
2026-01-06,19,3,123,123,0
2026-01-06,19,4,153,153,0
2026-01-06,19,5,153,153,0
2026-01-06,20,1,116,116,0
2026-01-06,20,2,106,106,0
2026-01-06,20,3,63,63,0
2026-01-06,20,4,93,93,0
2026-01-06,20,5,96,96,0
2026-01-06,21,1,187,187,0
2026-01-06,21,2,185,185,0
2026-01-06,21,3,121,121,0
2026-01-06,21,4,140,140,0
2026-01-06,21,5,159,159,0
2026-01-06,22,1,36,36,0
2026-01-06,22,2,47,47,0
2026-01-06,22,3,34,34,0
2026-01-06,22,4,23,23,0
2026-01-06,22,5,31,31,0
2026-01-06,23,1,149,149,0
2026-01-06,23,2,217,217,0
2026-01-06,23,3,92,92,0
2026-01-06,23,4,140,140,0
2026-01-06,23,5,124,124,0
2026-01-06,24,1,118,118,0
2026-01-06,24,2,126,126,0
2026-01-06,24,3,92,92,0
2026-01-06,24,4,121,121,0
2026-01-06,24,5,111,111,0
2026-01-06,25,1,128,128,0
2026-01-06,25,2,173,173,0
2026-01-06,25,3,109,109,0
2026-01-06,25,4,146,146,0
2026-01-06,25,5,129,129,0
2026-01-07,1,1,131,131,0
2026-01-07,1,2,222,222,0
2026-01-07,1,3,110,110,0
2026-01-07,1,4,109,109,0
2026-01-07,1,5,112,112,0
2026-01-07,2,1,143,143,0
2026-01-07,2,2,147,147,0
2026-01-07,2,3,87,87,0
2026-01-07,2,4,85,85,0
2026-01-07,2,5,96,96,0
2026-01-07,3,1,152,152,0
2026-01-07,3,2,180,180,0
2026-01-07,3,3,108,108,0
2026-01-07,3,4,164,164,0
2026-01-07,3,5,149,149,0
2026-01-07,4,1,157,157,0
2026-01-07,4,2,190,190,0
2026-01-07,4,3,143,143,0
2026-01-07,4,4,129,129,0
2026-01-07,4,5,139,139,0
2026-01-07,5,1,55,55,0
2026-01-07,5,2,92,92,0
2026-01-07,5,3,44,44,0
2026-01-07,5,4,71,71,0
2026-01-07,5,5,56,56,0
2026-01-07,6,1,171,171,0
2026-01-07,6,2,213,213,0
2026-01-07,6,3,146,146,0
2026-01-07,6,4,171,171,0
2026-01-07,6,5,162,162,0
2026-01-07,7,1,37,37,0
2026-01-07,7,2,63,63,0
2026-01-07,7,3,38,38,0
2026-01-07,7,4,49,49,0
2026-01-07,7,5,50,32,1
2026-01-07,8,1,125,125,0
2026-01-07,8,2,155,155,0
2026-01-07,8,3,107,107,0
2026-01-07,8,4,134,134,0
2026-01-07,8,5,107,107,0
2026-01-07,9,1,144,144,0
2026-01-07,9,2,188,188,0
2026-01-07,9,3,96,96,0
2026-01-07,9,4,135,135,0
2026-01-07,9,5,142,142,0
2026-01-07,10,1,99,99,0
2026-01-07,10,2,113,113,0
2026-01-07,10,3,86,86,0
2026-01-07,10,4,91,91,0
2026-01-07,10,5,90,90,0
2026-01-07,11,1,86,86,0
2026-01-07,11,2,102,102,0
2026-01-07,11,3,73,73,0
2026-01-07,11,4,82,82,0
2026-01-07,11,5,98,98,0
2026-01-07,12,1,125,125,0
2026-01-07,12,2,121,121,0
2026-01-07,12,3,96,96,0
2026-01-07,12,4,89,89,0
2026-01-07,12,5,102,102,0
2026-01-07,13,1,90,90,0
2026-01-07,13,2,120,120,0
2026-01-07,13,3,70,70,0
2026-01-07,13,4,83,83,0
2026-01-07,13,5,82,82,0
2026-01-07,14,1,179,179,0
2026-01-07,14,2,207,207,0
2026-01-07,14,3,176,176,0
2026-01-07,14,4,148,148,0
