date,drug_id,location_id,opening_stock,received_qty,dispensed_qty,closing_stock,stockout_flag
2026-01-01,11,4,829,0,80,749,0
2026-01-01,11,5,859,0,82,777,0
2026-01-01,12,1,934,0,100,834,0
2026-01-01,12,2,1212,0,114,1098,0
2026-01-01,12,3,809,0,85,724,0
2026-01-01,12,4,930,0,98,832,0
2026-01-01,12,5,748,0,101,647,0
2026-01-01,13,1,800,0,79,721,0
2026-01-01,13,2,788,0,96,692,0
2026-01-01,13,3,671,0,84,587,0
2026-01-01,13,4,695,0,82,613,0
2026-01-01,13,5,666,0,96,570,0
2026-01-01,14,1,1362,0,202,1160,0
2026-01-01,14,2,2045,0,226,1819,0
2026-01-01,14,3,1142,0,167,975,0
2026-01-01,14,4,1778,0,150,1628,0
2026-01-01,14,5,1631,0,264,1367,0
2026-01-01,15,1,898,0,110,788,0
2026-01-01,15,2,1193,0,141,1052,0
2026-01-01,15,3,614,0,104,510,0
2026-01-01,15,4,1049,0,108,941,0
2026-01-01,15,5,910,0,88,822,0
2026-01-01,16,1,563,0,58,505,0
2026-01-01,16,2,485,0,72,413,0
2026-01-01,16,3,403,0,47,356,0
2026-01-01,16,4,451,0,55,396,0
2026-01-01,16,5,569,0,52,517,0
2026-01-01,17,1,565,0,62,503,0
2026-01-01,17,2,644,0,67,577,0
2026-01-01,17,3,397,0,52,345,0
2026-01-01,17,4,458,0,55,403,0
2026-01-01,17,5,526,0,47,479,0
2026-01-01,18,1,1424,0,155,1269,0
2026-01-01,18,2,1372,0,199,1173,0
2026-01-01,18,3,1357,0,121,1236,0
2026-01-01,18,4,1558,0,146,1412,0
2026-01-01,18,5,1171,0,157,1014,0
2026-01-01,19,1,1519,0,171,1348,0
2026-01-01,19,2,1458,0,198,1260,0
2026-01-01,19,3,1292,0,129,1163,0
2026-01-01,19,4,1211,0,166,1045,0
2026-01-01,19,5,1513,0,158,1355,0
2026-01-01,20,1,946,0,107,839,0
2026-01-01,20,2,1145,0,126,1019,0
2026-01-01,20,3,574,0,71,503,0
2026-01-01,20,4,921,0,109,812,0
2026-01-01,20,5,720,0,101,619,0
2026-01-01,21,1,1133,0,144,989,0
2026-01-01,21,2,1740,0,183,1557,0
2026-01-01,21,3,1088,0,138,950,0
2026-01-01,21,4,1480,0,151,1329,0
2026-01-01,21,5,1545,0,152,1393,0
2026-01-01,22,1,312,0,39,273,0
2026-01-01,22,2,486,0,37,449,0
2026-01-01,22,3,249,0,21,228,0
2026-01-01,22,4,309,0,34,275,0
2026-01-01,22,5,288,0,45,243,0
2026-01-01,23,1,1297,0,114,1183,0
2026-01-01,23,2,1100,0,143,957,0
2026-01-01,23,3,701,0,109,592,0
2026-01-01,23,4,954,0,153,801,0
2026-01-01,23,5,1261,0,111,1150,0
2026-01-01,24,1,1120,0,118,1002,0
2026-01-01,24,2,1261,0,140,1121,0
2026-01-01,24,3,906,0,88,818,0
2026-01-01,24,4,1014,0,96,918,0
2026-01-01,24,5,916,0,98,818,0
2026-01-01,25,1,1119,0,123,996,0
2026-01-01,25,2,1626,0,159,1467,0
2026-01-01,25,3,1057,0,116,941,0
2026-01-01,25,4,1041,0,126,915,0
2026-01-01,25,5,951,0,147,804,0
2026-01-02,1,1,1218,0,146,1072,0
2026-01-02,1,2,1387,0,171,1216,0
2026-01-02,1,3,913,0,117,796,0
2026-01-02,1,4,994,0,108,886,0
2026-01-02,1,5,885,0,128,757,0
2026-01-02,2,1,638,0,113,525,0
2026-01-02,2,2,964,0,134,830,0
2026-01-02,2,3,569,0,63,506,0
2026-01-02,2,4,704,0,99,605,0
2026-01-02,2,5,935,0,141,794,0
2026-01-02,3,1,1033,0,138,895,0
2026-01-02,3,2,1066,0,184,882,0
2026-01-02,3,3,849,0,136,713,0
2026-01-02,3,4,963,0,148,815,0
2026-01-02,3,5,1196,0,134,1062,0
2026-01-02,4,1,1241,0,144,1097,0
2026-01-02,4,2,1641,0,159,1482,0
2026-01-02,4,3,1066,0,117,949,0
2026-01-02,4,4,1047,0,145,902,0
2026-01-02,4,5,1345,0,165,1180,0
2026-01-02,5,1,428,0,61,367,0
2026-01-02,5,2,457,0,80,377,0
2026-01-02,5,3,343,0,53,290,0
2026-01-02,5,4,507,0,52,455,0
2026-01-02,5,5,465,0,62,403,0
2026-01-02,6,1,1138,0,184,954,0
2026-01-02,6,2,1659,0,204,1455,0
2026-01-02,6,3,946,0,136,810,0
2026-01-02,6,4,1417,0,172,1245,0
2026-01-02,6,5,1300,0,181,1119,0
2026-01-02,7,1,385,0,40,345,0
2026-01-02,7,2,434,0,81,353,0
2026-01-02,7,3,347,0,76,271,0
2026-01-02,7,4,333,0,40,293,0
2026-01-02,7,5,298,0,64,234,0
2026-01-02,8,1,781,0,105,676,0
2026-01-02,8,2,1419,0,151,1268,0
2026-01-02,8,3,954,0,128,826,0
2026-01-02,8,4,970,0,109,861,0
2026-01-02,8,5,818,0,125,693,0
2026-01-02,9,1,1390,0,137,1253,0
2026-01-02,9,2,1548,0,177,1371,0
2026-01-02,9,3,1014,0,136,878,0
2026-01-02,9,4,1014,0,184,830,0
2026-01-02,9,5,957,0,164,793,0
2026-01-02,10,1,573,0,81,492,0
2026-01-02,10,2,1023,0,111,912,0
2026-01-02,10,3,578,0,101,477,0
2026-01-02,10,4,553,0,93,460,0
2026-01-02,10,5,619,0,94,525,0
2026-01-02,11,1,752,0,108,644,0
2026-01-02,11,2,726,0,120,606,0
2026-01-02,11,3,709,0,77,632,0
2026-01-02,11,4,749,0,105,644,0
2026-01-02,11,5,777,0,83,694,0
2026-01-02,12,1,834,0,114,720,0
2026-01-02,12,2,1098,0,122,976,0
2026-01-02,12,3,724,0,74,650,0
2026-01-02,12,4,832,0,86,746,0
2026-01-02,12,5,647,0,89,558,0
2026-01-02,13,1,721,0,94,627,0
2026-01-02,13,2,692,0,87,605,0
2026-01-02,13,3,587,0,106,481,0
2026-01-02,13,4,613,0,86,527,0
2026-01-02,13,5,570,0,81,489,0
2026-01-02,14,1,1160,0,180,980,0
2026-01-02,14,2,1819,0,222,1597,0
2026-01-02,14,3,975,0,197,778,0
2026-01-02,14,4,1628,0,179,1449,0
2026-01-02,14,5,1367,0,171,1196,0
2026-01-02,15,1,788,0,135,653,0
2026-01-02,15,2,1052,0,117,935,0
2026-01-02,15,3,510,0,100,410,0
2026-01-02,15,4,941,0,104,837,0
2026-01-02,15,5,822,0,104,718,0
2026-01-02,16,1,505,0,65,440,0
2026-01-02,16,2,413,0,79,334,0
2026-01-02,16,3,356,0,43,313,0
2026-01-02,16,4,396,0,52,344,0
2026-01-02,16,5,517,0,67,450,0
2026-01-02,17,1,503,0,58,445,0
2026-01-02,17,2,577,0,63,514,0
2026-01-02,17,3,345,0,66,279,0
2026-01-02,17,4,403,0,50,353,0
2026-01-02,17,5,479,0,59,420,0
2026-01-02,18,1,1269,0,132,1137,0
2026-01-02,18,2,1173,0,200,973,0
2026-01-02,18,3,1236,0,123,1113,0
2026-01-02,18,4,1412,0,176,1236,0
2026-01-02,18,5,1014,0,148,866,0
2026-01-02,19,1,1348,0,180,1168,0
2026-01-02,19,2,1260,0,181,1079,0
2026-01-02,19,3,1163,0,148,1015,0
2026-01-02,19,4,1045,0,142,903,0
2026-01-02,19,5,1355,0,167,1188,0
2026-01-02,20,1,839,0,116,723,0
2026-01-02,20,2,1019,0,98,921,0
2026-01-02,20,3,503,0,68,435,0
2026-01-02,20,4,812,0,79,733,0
2026-01-02,20,5,619,0,104,515,0
2026-01-02,21,1,989,0,149,840,0
2026-01-02,21,2,1557,0,201,1356,0
2026-01-02,21,3,950,0,130,820,0
2026-01-02,21,4,1329,0,128,1201,0
2026-01-02,21,5,1393,0,151,1242,0
2026-01-02,22,1,273,0,39,234,0
2026-01-02,22,2,449,0,25,424,0
2026-01-02,22,3,228,0,28,200,0
2026-01-02,22,4,275,0,32,243,0
2026-01-02,22,5,243,0,41,202,0
2026-01-02,23,1,1183,0,189,994,0
2026-01-02,23,2,957,0,138,819,0
2026-01-02,23,3,592,0,106,486,0
2026-01-02,23,4,801,0,128,673,0
2026-01-02,23,5,1150,0,108,1042,0
2026-01-02,24,1,1002,0,93,909,0
2026-01-02,24,2,1121,0,123,998,0
2026-01-02,24,3,818,0,92,726,0
2026-01-02,24,4,918,0,99,819,0
2026-01-02,24,5,818,0,96,722,0
2026-01-02,25,1,996,0,149,847,0
2026-01-02,25,2,1467,0,180,1287,0
2026-01-02,25,3,941,0,111,830,0
2026-01-02,25,4,915,0,147,768,0
2026-01-02,25,5,804,0,126,678,0
2026-01-03,1,1,1072,0,136,936,0
2026-01-03,1,2,1216,0,167,1049,0
2026-01-03,1,3,796,0,108,688,0
2026-01-03,1,4,886,0,129,757,0
2026-01-03,1,5,757,0,118,639,0
2026-01-03,2,1,525,0,95,430,0
2026-01-03,2,2,830,0,115,715,0
2026-01-03,2,3,506,0,88,418,0
2026-01-03,2,4,605,0,95,510,0
2026-01-03,2,5,794,0,102,692,0
2026-01-03,3,1,895,0,195,700,0
2026-01-03,3,2,882,0,173,709,0
2026-01-03,3,3,713,0,119,594,0
2026-01-03,3,4,815,0,128,687,0
2026-01-03,3,5,1062,0,146,916,0
2026-01-03,4,1,1097,0,173,924,0
2026-01-03,4,2,1482,0,193,1289,0
2026-01-03,4,3,949,0,122,827,0
2026-01-03,4,4,902,0,131,771,0
2026-01-03,4,5,1180,0,142,1038,0
2026-01-03,5,1,367,0,99,268,0
2026-01-03,5,2,377,0,72,305,0
2026-01-03,5,3,290,0,43,247,0
2026-01-03,5,4,455,0,50,405,0
2026-01-03,5,5,403,0,64,339,0
2026-01-03,6,1,954,0,153,801,0
2026-01-03,6,2,1455,0,202,1253,0
2026-01-03,6,3,810,0,127,683,0
2026-01-03,6,4,1245,0,158,1087,0
2026-01-03,6,5,1119,0,177,942,0
2026-01-03,7,1,345,0,39,306,0
2026-01-03,7,2,353,0,56,297,0
2026-01-03,7,3,271,0,38,233,0
2026-01-03,7,4,293,0,53,240,0
2026-01-03,7,5,234,0,54,180,0
2026-01-03,8,1,676,0,137,539,0
2026-01-03,8,2,1268,0,126,1142,0
2026-01-03,8,3,826,0,106,720,0
2026-01-03,8,4,861,0,145,716,0
2026-01-03,8,5,693,0,120,573,0
2026-01-03,9,1,1253,0,129,1124,0
2026-01-03,9,2,1371,0,172,1199,0
2026-01-03,9,3,878,0,113,765,0
2026-01-03,9,4,830,0,139,691,0
2026-01-03,9,5,793,0,135,658,0
2026-01-03,10,1,492,0,82,410,0
2026-01-03,10,2,912,0,91,821,0
2026-01-03,10,3,477,0,82,395,0
2026-01-03,10,4,460,0,70,390,0
2026-01-03,10,5,525,0,83,442,0
2026-01-03,11,1,644,0,104,540,0
2026-01-03,11,2,606,0,114,492,0
2026-01-03,11,3,632,0,76,556,0
2026-01-03,11,4,644,0,120,524,0
2026-01-03,11,5,694,0,90,604,0
2026-01-03,12,1,720,0,105,615,0
2026-01-03,12,2,976,0,130,846,0
2026-01-03,12,3,650,0,88,562,0
2026-01-03,12,4,746,0,137,609,0
2026-01-03,12,5,558,0,93,465,0
2026-01-03,13,1,627,0,92,535,0
2026-01-03,13,2,605,0,89,516,0
2026-01-03,13,3,481,0,66,415,0
2026-01-03,13,4,527,0,70,457,0
2026-01-03,13,5,489,0,78,411,0
2026-01-03,14,1,980,0,238,742,0
2026-01-03,14,2,1597,0,213,1384,0
2026-01-03,14,3,778,0,138,640,0
2026-01-03,14,4,1449,0,147,1302,0
2026-01-03,14,5,1196,0,180,1016,0
2026-01-03,15,1,653,0,116,537,0
2026-01-03,15,2,935,0,125,810,0
2026-01-03,15,3,410,0,89,321,0
2026-01-03,15,4,837,0,97,740,0
2026-01-03,15,5,718,0,99,619,0
2026-01-03,16,1,440,0,46,394,0
2026-01-03,16,2,334,0,69,265,0
2026-01-03,16,3,313,0,44,269,0
2026-01-03,16,4,344,0,64,280,0
2026-01-03,16,5,450,0,52,398,0
2026-01-03,17,1,445,0,65,380,0
2026-01-03,17,2,514,0,69,445,0
2026-01-03,17,3,279,0,42,237,0
2026-01-03,17,4,353,0,48,305,0
2026-01-03,17,5,420,0,52,368,0
2026-01-03,18,1,1137,0,225,912,0
2026-01-03,18,2,973,0,224,749,0
2026-01-03,18,3,1113,0,182,931,0
2026-01-03,18,4,1236,0,207,1029,0
2026-01-03,18,5,866,0,165,701,0
2026-01-03,19,1,1168,0,164,1004,0
2026-01-03,19,2,1079,0,190,889,0
2026-01-03,19,3,1015,0,136,879,0
2026-01-03,19,4,903,0,160,743,0
2026-01-03,19,5,1188,0,173,1015,0
2026-01-03,20,1,723,0,109,614,0
2026-01-03,20,2,921,0,125,796,0
2026-01-03,20,3,435,0,76,359,0
2026-01-03,20,4,733,0,74,659,0
2026-01-03,20,5,515,0,85,430,0
2026-01-03,21,1,840,0,158,682,0
2026-01-03,21,2,1356,0,196,1160,0
2026-01-03,21,3,820,0,130,690,0
2026-01-03,21,4,1201,0,132,1069,0
2026-01-03,21,5,1242,0,178,1064,0
2026-01-03,22,1,234,0,59,175,0
2026-01-03,22,2,424,0,54,370,0
2026-01-03,22,3,200,0,30,170,0
2026-01-03,22,4,243,0,41,202,0
2026-01-03,22,5,202,0,28,174,0
2026-01-03,23,1,994,0,108,886,0
2026-01-03,23,2,819,0,147,672,0
2026-01-03,23,3,486,0,92,394,0
2026-01-03,23,4,673,0,93,580,0
2026-01-03,23,5,1042,0,101,941,0
2026-01-03,24,1,909,0,108,801,0
2026-01-03,24,2,998,0,134,864,0
2026-01-03,24,3,726,0,83,643,0
2026-01-03,24,4,819,0,80,739,0
2026-01-03,24,5,722,0,100,622,0
2026-01-03,25,1,847,0,103,744,0
2026-01-03,25,2,1287,0,162,1125,0
2026-01-03,25,3,830,0,101,729,0
2026-01-03,25,4,768,0,101,667,0
2026-01-03,25,5,678,0,148,530,0
2026-01-04,1,1,936,0,125,811,0
2026-01-04,1,2,1049,0,156,893,0
2026-01-04,1,3,688,0,108,580,0
2026-01-04,1,4,757,0,133,624,0
2026-01-04,1,5,639,0,124,515,0
2026-01-04,2,1,430,0,95,335,0
2026-01-04,2,2,715,0,145,570,0
2026-01-04,2,3,418,0,84,334,0
2026-01-04,2,4,510,0,93,417,0
2026-01-04,2,5,692,0,80,612,0
2026-01-04,3,1,700,0,154,546,0
2026-01-04,3,2,709,0,197,512,0
2026-01-04,3,3,594,0,125,469,0
2026-01-04,3,4,687,0,149,538,0
2026-01-04,3,5,916,0,137,779,0
2026-01-04,4,1,924,0,153,771,0
2026-01-04,4,2,1289,0,170,1119,0
2026-01-04,4,3,827,0,113,714,0
2026-01-04,4,4,771,0,156,615,0
2026-01-04,4,5,1038,0,175,863,0
2026-01-04,5,1,268,0,59,209,0
2026-01-04,5,2,305,0,82,223,0
2026-01-04,5,3,247,227,52,422,0
2026-01-04,5,4,405,0,59,346,0
2026-01-04,5,5,339,0,61,278,0
2026-01-04,6,1,801,0,192,609,0
2026-01-04,6,2,1253,0,201,1052,0
2026-01-04,6,3,683,0,143,540,0
2026-01-04,6,4,1087,0,171,916,0
2026-01-04,6,5,942,0,153,789,0
2026-01-04,7,1,306,0,48,258,0
2026-01-04,7,2,297,0,75,222,0
2026-01-04,7,3,233,0,43,190,0
2026-01-04,7,4,240,0,52,188,0
2026-01-04,7,5,180,0,48,132,0
2026-01-04,8,1,539,0,123,416,0
2026-01-04,8,2,1142,0,134,1008,0
2026-01-04,8,3,720,0,113,607,0
2026-01-04,8,4,716,0,102,614,0
2026-01-04,8,5,573,0,111,462,0
2026-01-04,9,1,1124,0,176,948,0
2026-01-04,9,2,1199,0,200,999,0
2026-01-04,9,3,765,0,122,643,0
2026-01-04,9,4,691,779,141,1329,0
2026-01-04,9,5,658,0,149,509,0
2026-01-04,10,1,410,571,84,897,0
2026-01-04,10,2,821,0,117,704,0
2026-01-04,10,3,395,0,66,329,0
2026-01-04,10,4,390,0,58,332,0
2026-01-04,10,5,442,0,71,371,0
2026-01-04,11,1,540,0,88,452,0
2026-01-04,11,2,492,0,107,385,0
2026-01-04,11,3,556,0,78,478,0
2026-01-04,11,4,524,0,81,443,0
2026-01-04,11,5,604,0,80,524,0
2026-01-04,12,1,615,0,92,523,0
2026-01-04,12,2,846,0,117,729,0
2026-01-04,12,3,562,0,96,466,0
2026-01-04,12,4,609,0,90,519,0
2026-01-04,12,5,465,418,100,783,0
2026-01-04,13,1,535,0,82,453,0
2026-01-04,13,2,516,0,123,393,0
2026-01-04,13,3,415,0,70,345,0
2026-01-04,13,4,457,0,72,385,0
2026-01-04,13,5,411,0,95,316,0
2026-01-04,14,1,742,0,186,556,0
2026-01-04,14,2,1384,0,211,1173,0
2026-01-04,14,3,640,946,150,1436,0
2026-01-04,14,4,1302,0,189,1113,0
2026-01-04,14,5,1016,0,183,833,0
2026-01-04,15,1,537,0,112,425,0
2026-01-04,15,2,810,0,110,700,0
2026-01-04,15,3,321,0,81,240,0
2026-01-04,15,4,740,0,111,629,0
2026-01-04,15,5,619,0,98,521,0
2026-01-04,16,1,394,0,64,330,0
2026-01-04,16,2,265,334,72,527,0
2026-01-04,16,3,269,0,54,215,0
2026-01-04,16,4,280,0,66,214,0
2026-01-04,16,5,398,0,48,350,0
2026-01-04,17,1,380,0,72,308,0
2026-01-04,17,2,445,0,80,365,0
2026-01-04,17,3,237,0,54,183,0
2026-01-04,17,4,305,0,55,250,0
2026-01-04,17,5,368,0,51,317,0
2026-01-04,18,1,912,0,158,754,0
2026-01-04,18,2,749,827,219,1357,0
2026-01-04,18,3,931,0,117,814,0
2026-01-04,18,4,1029,0,126,903,0
2026-01-04,18,5,701,0,159,542,0
2026-01-04,19,1,1004,0,171,833,0
2026-01-04,19,2,889,0,195,694,0
2026-01-04,19,3,879,0,122,757,0
2026-01-04,19,4,743,0,136,607,0
2026-01-04,19,5,1015,0,152,863,0
2026-01-04,20,1,614,0,79,535,0
2026-01-04,20,2,796,0,105,691,0
2026-01-04,20,3,359,0,72,287,0
2026-01-04,20,4,659,0,88,571,0
2026-01-04,20,5,430,0,95,335,0
2026-01-04,21,1,682,0,166,516,0
2026-01-04,21,2,1160,0,186,974,0
2026-01-04,21,3,690,0,127,563,0
2026-01-04,21,4,1069,0,146,923,0
2026-01-04,21,5,1064,0,152,912,0
2026-01-04,22,1,175,0,38,137,0
2026-01-04,22,2,370,0,50,320,0
2026-01-04,22,3,170,0,30,140,0
2026-01-04,22,4,202,0,34,168,0
2026-01-04,22,5,174,0,30,144,0
2026-01-04,23,1,886,0,176,710,0
2026-01-04,23,2,672,0,147,525,0
2026-01-04,23,3,394,0,87,307,0
2026-01-04,23,4,580,0,107,473,0
2026-01-04,23,5,941,0,133,808,0
2026-01-04,24,1,801,0,98,703,0
2026-01-04,24,2,864,0,119,745,0
2026-01-04,24,3,643,0,90,553,0
2026-01-04,24,4,739,0,87,652,0
2026-01-04,24,5,622,0,96,526,0
2026-01-04,25,1,744,0,147,597,0
2026-01-04,25,2,1125,0,164,961,0
2026-01-04,25,3,729,0,114,615,0
2026-01-04,25,4,667,0,118,549,0
2026-01-04,25,5,530,809,118,1221,0
2026-01-05,1,1,811,0,138,673,0
2026-01-05,1,2,893,0,149,744,0
2026-01-05,1,3,580,717,90,1207,0
2026-01-05,1,4,624,0,111,513,0
2026-01-05,1,5,515,585,109,991,0
2026-01-05,2,1,335,615,120,830,0
2026-01-05,2,2,570,0,131,439,0
2026-01-05,2,3,334,0,84,250,0
2026-01-05,2,4,417,0,121,296,0
2026-01-05,2,5,612,0,126,486,0
2026-01-05,3,1,546,0,147,399,0
2026-01-05,3,2,512,0,191,321,0
2026-01-05,3,3,469,642,167,944,0
2026-01-05,3,4,538,0,132,406,0
2026-01-05,3,5,779,0,170,609,0
2026-01-05,4,1,771,0,132,639,0
2026-01-05,4,2,1119,0,187,932,0
2026-01-05,4,3,714,0,111,603,0
2026-01-05,4,4,615,0,147,468,0
2026-01-05,4,5,863,0,146,717,0
2026-01-05,5,1,209,345,70,484,0
2026-01-05,5,2,223,0,95,128,0
2026-01-05,5,3,422,0,50,372,0
2026-01-05,5,4,346,0,61,285,0
2026-01-05,5,5,278,0,52,226,0
2026-01-05,6,1,609,0,173,436,0
2026-01-05,6,2,1052,0,203,849,0
2026-01-05,6,3,540,0,145,395,0
2026-01-05,6,4,916,0,167,749,0
2026-01-05,6,5,789,0,170,619,0
2026-01-05,7,1,258,0,55,203,0
2026-01-05,7,2,222,0,51,171,0
2026-01-05,7,3,190,0,55,135,0
2026-01-05,7,4,188,0,48,140,0
2026-01-05,7,5,132,0,38,94,0
2026-01-05,8,1,416,0,118,298,0
2026-01-05,8,2,1008,0,148,860,0
2026-01-05,8,3,607,0,94,513,0
2026-01-05,8,4,614,0,119,495,0
2026-01-05,8,5,462,613,120,955,0
2026-01-05,9,1,948,0,146,802,0
2026-01-05,9,2,999,0,170,829,0
2026-01-05,9,3,643,480,116,1007,0
2026-01-05,9,4,1329,0,155,1174,0
2026-01-05,9,5,509,0,118,391,0
2026-01-05,10,1,897,0,91,806,0
2026-01-05,10,2,704,0,101,603,0
2026-01-05,10,3,329,336,87,578,0
2026-01-05,10,4,332,413,87,658,0
2026-01-05,10,5,371,563,82,852,0
2026-01-05,11,1,452,0,94,358,0
2026-01-05,11,2,385,0,105,280,0
2026-01-05,11,3,478,0,63,415,0
2026-01-05,11,4,443,0,71,372,0
2026-01-05,11,5,524,0,91,433,0
2026-01-05,12,1,523,0,96,427,0
2026-01-05,12,2,729,0,156,573,0
2026-01-05,12,3,466,409,140,735,0
2026-01-05,12,4,519,0,91,428,0
2026-01-05,12,5,783,0,93,690,0
2026-01-05,13,1,453,0,88,365,0
2026-01-05,13,2,393,0,130,263,0
2026-01-05,13,3,345,0,71,274,0
2026-01-05,13,4,385,0,82,303,0
2026-01-05,13,5,316,0,83,233,0
2026-01-05,14,1,556,1159,197,1518,0
2026-01-05,14,2,1173,0,235,938,0
2026-01-05,14,3,1436,0,131,1305,0
2026-01-05,14,4,1113,0,135,978,0
2026-01-05,14,5,833,0,172,661,0
2026-01-05,15,1,425,589,101,913,0
2026-01-05,15,2,700,0,126,574,0
2026-01-05,15,3,240,561,76,725,0
2026-01-05,15,4,629,0,109,520,0
2026-01-05,15,5,521,0,92,429,0
2026-01-05,16,1,330,0,51,279,0
2026-01-05,16,2,527,0,91,436,0
2026-01-05,16,3,215,0,47,168,0
2026-01-05,16,4,214,0,45,169,0
2026-01-05,16,5,350,0,64,286,0
2026-01-05,17,1,308,0,63,245,0
2026-01-05,17,2,365,0,63,302,0
2026-01-05,17,3,183,0,49,134,0
2026-01-05,17,4,250,0,43,207,0
2026-01-05,17,5,317,0,54,263,0
2026-01-05,18,1,754,995,161,1588,0
2026-01-05,18,2,1357,0,169,1188,0
2026-01-05,18,3,814,0,127,687,0
2026-01-05,18,4,903,0,165,738,0
2026-01-05,18,5,542,791,151,1182,0
2026-01-05,19,1,833,0,156,677,0
2026-01-05,19,2,694,0,188,506,0
2026-01-05,19,3,757,0,129,628,0
2026-01-05,19,4,607,0,146,461,0
2026-01-05,19,5,863,0,159,704,0
2026-01-05,20,1,535,0,76,459,0
2026-01-05,20,2,691,0,98,593,0
2026-01-05,20,3,287,0,85,202,0
2026-01-05,20,4,571,0,91,480,0
2026-01-05,20,5,335,0,83,252,0
2026-01-05,21,1,516,0,157,359,0
2026-01-05,21,2,974,0,177,797,0
2026-01-05,21,3,563,0,139,424,0
2026-01-05,21,4,923,0,152,771,0
2026-01-05,21,5,912,0,145,767,0
2026-01-05,22,1,137,0,23,114,0
2026-01-05,22,2,320,0,51,269,0
2026-01-05,22,3,140,0,30,110,0
2026-01-05,22,4,168,176,36,308,0
2026-01-05,22,5,144,226,30,340,0
2026-01-05,23,1,710,0,164,546,0
2026-01-05,23,2,525,0,122,403,0
2026-01-05,23,3,307,0,89,218,0
2026-01-05,23,4,473,577,113,937,0
2026-01-05,23,5,808,0,122,686,0
2026-01-05,24,1,703,0,109,594,0
2026-01-05,24,2,745,0,106,639,0
2026-01-05,24,3,553,0,93,460,0
2026-01-05,24,4,652,0,145,507,0
2026-01-05,24,5,526,0,93,433,0
2026-01-05,25,1,597,0,148,449,0
2026-01-05,25,2,961,0,176,785,0
2026-01-05,25,3,615,0,125,490,0
2026-01-05,25,4,549,0,115,434,0
2026-01-05,25,5,1221,0,129,1092,0
2026-01-06,1,1,673,0,128,545,0
2026-01-06,1,2,744,0,180,564,0
2026-01-06,1,3,1207,0,117,1090,0
2026-01-06,1,4,513,0,149,364,0
2026-01-06,1,5,991,0,139,852,0
2026-01-06,2,1,830,0,151,679,0
2026-01-06,2,2,439,0,115,324,0
2026-01-06,2,3,250,0,86,164,0
2026-01-06,2,4,296,0,108,188,0
2026-01-06,2,5,486,0,93,393,0
2026-01-06,3,1,399,697,147,949,0
2026-01-06,3,2,321,809,179,951,0
2026-01-06,3,3,944,0,130,814,0
2026-01-06,3,4,406,0,143,263,0
2026-01-06,3,5,609,0,152,457,0
2026-01-06,4,1,639,0,147,492,0
2026-01-06,4,2,932,0,186,746,0
2026-01-06,4,3,603,0,112,491,0
2026-01-06,4,4,468,791,186,1073,0
2026-01-06,4,5,717,0,149,568,0
2026-01-06,5,1,484,0,68,416,0
2026-01-06,5,2,128,425,78,475,0
2026-01-06,5,3,372,0,62,310,0
2026-01-06,5,4,285,0,61,224,0
