batch_id,drug_id,location_id,quantity,expiry_date,inventory_value
120,19,1,497,2026-03-18,129736.88
121,4,4,259,2026-10-20,14682.71
122,5,2,286,2026-10-24,37174.28
123,15,2,207,2027-04-16,15570.54
124,3,2,866,2027-04-12,270746.24
125,25,2,152,2027-01-17,33418.72
126,13,3,795,2026-06-14,193121.4
127,20,2,238,2026-07-28,53338.18
128,3,5,521,2026-11-09,162885.44
129,7,2,69,2026-02-12,5977.47
130,5,5,415,2026-10-07,53941.7
131,6,1,656,2026-11-26,174804.32
132,22,1,839,2026-03-28,183556.42
133,17,1,780,2027-02-23,117015.6
134,3,4,826,2026-08-15,258240.64
135,6,5,323,2027-06-14,86069.81
136,9,1,119,2026-04-15,29385.86
137,2,5,171,2026-05-25,39092.31
138,7,5,828,2026-09-24,71729.64
139,6,1,655,2026-10-12,174537.85
140,19,4,366,2026-11-23,95540.64
141,21,1,68,2027-02-16,5329.16
142,23,1,720,2027-04-23,182721.6
143,20,1,86,2026-06-03,19273.46
144,21,2,596,2026-02-09,46708.52
145,22,5,616,2027-06-12,134768.48
146,23,2,273,2027-04-10,69281.94
147,6,4,294,2027-03-12,78342.18
148,12,1,748,2026-03-19,48320.8
149,19,1,832,2027-02-01,217185.28
150,3,3,382,2027-04-14,119428.48
151,22,3,857,2026-05-12,187494.46
152,6,4,265,2026-09-21,70614.55
153,10,3,350,2026-12-13,100702.0
154,9,4,244,2027-06-10,60253.36
155,22,4,474,2026-07-26,103701.72
156,15,4,659,2027-01-15,49569.98
157,7,1,436,2027-04-23,37770.68
158,1,3,730,2026-06-07,183762.9
159,1,5,586,2026-09-17,147513.78
160,7,2,342,2027-04-21,29627.46
161,13,1,564,2027-04-17,137006.88
162,5,2,514,2026-04-21,66809.72
163,12,3,209,2026-03-13,13501.4
164,24,4,797,2026-10-06,47995.34
165,24,4,392,2026-10-17,23606.24
166,21,2,458,2027-05-29,35893.46
167,14,3,831,2026-07-12,107930.28
168,16,4,804,2026-05-08,69570.12
169,17,4,460,2027-04-21,69009.2
170,25,5,600,2026-03-06,131916.0
171,25,2,241,2027-01-13,52986.26
172,4,2,210,2026-05-27,11904.9
173,9,5,527,2027-03-22,130137.38
174,25,3,591,2026-05-17,129937.26
175,22,1,53,2026-08-20,11595.34
176,9,5,86,2026-03-18,21236.84
177,18,2,822,2027-05-06,92335.26
178,17,2,892,2026-07-28,133817.84
179,20,1,100,2026-06-17,22411.0
180,16,2,65,2027-04-05,5624.45
181,21,1,724,2026-04-13,56739.88
182,2,1,127,2027-01-18,29033.47
183,8,2,320,2027-06-24,85740.8
184,22,4,381,2026-11-11,83355.18
185,1,3,227,2027-06-23,57142.71
186,6,2,83,2027-04-01,22117.01
187,21,3,573,2027-06-23,44906.01
188,7,2,894,2026-09-13,77447.22
189,23,3,234,2026-09-18,59384.52
190,4,1,299,2026-06-25,16950.31
191,9,5,410,2027-01-11,101245.4
192,3,2,456,2027-02-07,142563.84
193,6,1,311,2026-07-17,82872.17
194,22,3,714,2027-05-15,156208.92
195,11,1,854,2026-12-05,65570.12
196,9,5,839,2026-12-06,207182.66
197,25,2,884,2027-06-19,194356.24
198,4,5,80,2026-09-10,4535.2
199,11,2,429,2027-01-02,32938.62
200,23,1,450,2027-04-16,114201.0
201,17,2,74,2027-01-30,11101.48
202,5,1,857,2026-12-25,111392.86
203,18,2,641,2026-09-21,72003.53
204,1,1,136,2027-01-17,34235.28
205,19,1,186,2027-01-09,48553.44
206,25,3,276,2026-03-19,60681.36
207,22,5,289,2026-07-01,63227.42
208,14,2,670,2026-10-31,87019.6
209,9,2,631,2026-05-11,155819.14
210,20,2,657,2026-06-30,147240.27
211,20,2,97,2027-02-14,21738.67
212,17,2,159,2026-06-18,23853.18
213,1,2,889,2026-08-25,223787.97
214,9,5,205,2026-12-17,50622.7
215,14,3,568,2026-11-18,73771.84
216,17,2,310,2027-03-13,46506.2
217,15,5,709,2026-11-23,53330.98
218,3,1,475,2027-02-04,148504.0
219,17,2,428,2026-11-08,64208.56
220,22,4,647,2026-05-13,141550.66
221,4,5,150,2026-06-06,8503.5
222,14,1,197,2026-03-15,25586.36
223,10,3,434,2027-01-21,124870.48
224,13,2,231,2027-02-03,56114.52
225,2,2,490,2026-07-09,112018.9
226,10,1,521,2026-08-07,149902.12
227,8,4,583,2027-01-04,156209.02
228,20,3,257,2027-04-23,57596.27
229,21,1,678,2026-05-23,53134.86
230,5,2,629,2026-10-30,81757.42
231,2,3,362,2026-11-13,82756.82
232,14,4,836,2026-04-19,108579.68
233,4,2,147,2026-03-01,8333.43
234,17,1,601,2026-02-11,90162.02
235,8,3,869,2026-12-03,232839.86
236,8,2,844,2026-07-09,226141.36
237,17,1,125,2027-04-20,18752.5
238,22,4,450,2027-05-14,98451.0
239,15,3,643,2026-12-04,48366.46
240,6,2,602,2026-12-21,160414.94
241,16,3,649,2027-05-09,56157.97
242,7,5,721,2026-05-17,62460.23
243,25,5,895,2027-02-01,196774.7
244,6,2,758,2026-09-24,201984.26
245,14,4,764,2026-06-13,99228.32
246,15,1,417,2026-07-01,31366.74
247,14,1,580,2027-02-05,75330.4
248,18,2,545,2027-06-23,61219.85
249,8,2,394,2026-02-08,105568.36
250,19,2,775,2027-04-25,202306.0
251,7,1,696,2026-07-11,60294.48
252,11,2,676,2026-05-23,51903.28
253,3,5,579,2026-12-08,181018.56
254,24,1,197,2027-04-27,11863.34
255,22,1,406,2026-02-06,88824.68
256,10,2,388,2027-05-20,111635.36
257,9,5,75,2026-04-27,18520.5
258,20,5,691,2026-10-05,154860.01
259,25,3,67,2026-02-03,14730.62
260,23,1,138,2026-11-08,35021.64
261,25,3,867,2026-10-18,190618.62
262,25,2,374,2026-02-12,82227.64
263,19,3,441,2027-04-28,115118.64
264,9,4,434,2026-07-28,107171.96
265,7,3,434,2027-03-21,37597.42
266,13,2,884,2026-02-16,214741.28
267,15,3,189,2026-11-09,14216.58
268,2,5,515,2026-08-27,117734.15
269,3,5,632,2026-04-15,197588.48
270,2,2,807,2026-03-02,184488.27
271,17,1,543,2026-06-06,81460.86
272,24,3,210,2026-03-07,12646.2
273,24,5,93,2026-02-17,5600.46
274,2,2,281,2026-04-04,64239.41
275,23,1,217,2026-04-18,55070.26
276,13,4,706,2027-06-02,171501.52
277,14,2,632,2027-03-14,82084.16
278,9,4,669,2026-03-31,165202.86
279,24,5,401,2027-02-16,24148.22
280,9,5,540,2026-07-22,133347.6
281,6,4,415,2026-07-08,110585.05
282,14,4,792,2026-02-16,102864.96
283,13,5,401,2026-07-11,97410.92
284,5,3,85,2026-09-11,11048.3
285,17,1,77,2026-07-31,11551.54
286,17,2,624,2026-04-16,93612.48
287,5,3,566,2027-02-28,73568.68
288,23,3,398,2027-05-10,101004.44
289,22,4,269,2026-04-15,58851.82
290,22,3,888,2027-02-09,194276.64
291,9,5,52,2026-11-23,12840.88
292,24,5,861,2027-03-18,51849.42
293,21,5,302,2026-11-30,23667.74
294,25,1,835,2026-05-28,183583.1
295,25,5,225,2026-04-28,49468.5
296,9,1,624,2027-03-02,154090.56
297,9,2,560,2027-04-05,138286.4
298,3,3,163,2026-12-14,50960.32
299,24,2,437,2026-05-26,26316.14
300,1,2,197,2027-03-22,49590.81
301,18,5,469,2027-05-03,52682.77
302,4,5,741,2026-12-22,42007.29
303,7,4,448,2027-04-30,38810.24
304,7,4,481,2026-12-24,41669.03
305,13,3,110,2027-01-30,26721.2
306,6,4,312,2026-08-22,83138.64
307,19,3,265,2026-12-16,69175.6
308,1,4,530,2027-06-04,133416.9
309,13,4,317,2027-06-19,77005.64
310,8,5,616,2027-01-23,165051.04
311,13,4,374,2027-05-23,90852.08
312,22,4,238,2026-09-15,52069.64
313,14,4,776,2026-08-24,100786.88
314,2,4,134,2027-01-30,30633.74
315,8,1,678,2027-04-21,181663.32
316,6,4,478,2026-12-08,127372.66
317,7,1,800,2027-01-25,69304.0
318,18,2,422,2026-04-21,47403.26
319,25,4,893,2026-12-03,196334.98
320,17,5,354,2026-02-08,53107.08
321,14,2,888,2026-03-03,115333.44
322,25,4,670,2026-12-31,147306.2
323,16,5,54,2026-06-20,4672.62
324,3,2,525,2026-11-08,164136.0
325,25,2,653,2026-07-24,143568.58
326,24,1,194,2027-02-20,11682.68
327,16,4,870,2026-04-28,75281.1
328,2,4,529,2026-03-24,120934.69
329,3,4,236,2027-06-04,73783.04
330,11,5,887,2026-12-09,68103.86
331,9,2,888,2027-04-18,219282.72
332,23,4,435,2026-01-31,110394.3
333,3,5,163,2026-11-26,50960.32
334,6,2,607,2026-12-25,161747.29
335,13,5,696,2026-03-21,169072.32
336,15,3,589,2026-07-18,44304.58
337,14,5,306,2026-04-18,39743.28
338,11,5,288,2026-12-02,22112.64
339,9,4,562,2026-01-31,138780.28
340,3,4,254,2026-03-30,79410.56
341,13,1,379,2027-03-14,92066.68
342,14,5,747,2027-04-06,97020.36
343,2,3,761,2026-04-10,173972.21
344,1,3,248,2027-05-08,62429.04
345,2,3,157,2026-09-09,35891.77
346,15,2,869,2026-02-15,65366.18
347,16,3,415,2026-02-25,35909.95
348,8,3,882,2026-05-14,236323.08
349,10,5,338,2026-10-19,97249.36
350,4,1,574,2026-08-09,32540.06
351,25,1,503,2027-05-10,110589.58
352,13,4,602,2027-04-10,146237.84
353,9,5,179,2027-01-18,44202.26
354,11,3,833,2026-04-21,63957.74
355,8,4,101,2027-01-01,27061.94
356,15,3,643,2026-12-02,48366.46
357,20,4,186,2026-04-12,41684.46
358,11,5,55,2026-06-12,4222.9
359,11,3,604,2026-07-21,46375.12
360,8,4,457,2026-12-26,122448.58
361,3,2,777,2026-02-25,242921.28
362,13,4,118,2027-01-07,28664.56
363,5,4,397,2026-02-07,51602.06
364,18,2,767,2027-01-30,86157.11
365,6,5,738,2026-10-19,196654.86
366,4,1,409,2027-01-09,23186.21
367,23,5,219,2027-03-20,55577.82
368,17,5,587,2027-03-23,88061.74
369,5,5,58,2026-04-16,7538.84
370,3,3,780,2027-06-08,243859.2
371,6,2,92,2027-06-23,24515.24
372,10,1,490,2026-07-13,140982.8
373,19,2,713,2026-03-25,186121.52
374,25,5,787,2026-02-06,173029.82
375,8,2,832,2027-01-06,222926.08
376,3,3,196,2027-05-27,61277.44
377,12,5,493,2027-03-27,31847.8
378,20,5,578,2026-03-18,129535.58
379,12,4,789,2026-06-03,50969.4
380,24,3,395,2026-08-16,23786.9
381,16,3,155,2027-01-11,13412.15
382,23,1,629,2027-02-15,159627.62
383,4,3,450,2026-03-10,25510.5
384,1,3,732,2027-03-20,184266.36
385,2,2,70,2026-12-22,16002.7
386,22,5,536,2027-03-22,117266.08
387,10,3,292,2026-06-01,84014.24
388,6,2,394,2027-03-18,104989.18
389,18,4,321,2026-05-02,36057.93
390,25,5,402,2026-02-13,88383.72
391,2,4,192,2026-08-24,43893.12
392,2,5,412,2026-08-06,94187.32
393,21,4,700,2026-11-02,54859.0
394,15,5,246,2026-02-17,18504.12
395,18,2,597,2027-04-27,67061.01
396,13,1,483,2026-12-06,117330.36
397,12,1,168,2027-04-22,10852.8
398,17,2,110,2026-09-29,16502.2
399,14,2,720,2027-06-18,93513.6
400,10,1,759,2027-06-20,218379.48
401,8,3,787,2026-04-25,210868.78
402,25,4,539,2026-11-15,118504.54
403,23,3,384,2026-03-30,97451.52
404,21,3,337,2026-03-05,26410.69
405,24,4,409,2026-11-18,24629.98
406,23,1,375,2026-02-21,95167.5
407,14,5,171,2026-12-23,22209.48
408,9,2,150,2026-12-25,37041.0
409,15,1,608,2027-02-22,45733.76
410,21,1,180,2027-02-13,14106.6
411,11,1,225,2026-08-11,17275.5
412,10,5,490,2026-10-31,140982.8
413,14,3,89,2027-05-13,11559.32
414,11,5,70,2026-05-27,5374.6
415,12,1,724,2027-03-07,46770.4
416,20,5,220,2026-05-03,49304.2
417,2,5,861,2026-05-17,196833.21
418,10,2,287,2026-06-20,82575.64
419,9,5,384,2026-10-15,94824.96
420,11,2,674,2026-02-04,51749.72
421,12,2,791,2026-04-25,51098.6
422,4,4,458,2026-10-23,25964.02
423,24,4,357,2026-08-30,21498.54
424,19,5,358,2026-09-02,93452.32
425,23,5,745,2027-05-09,189066.1
426,14,5,837,2026-08-19,108709.56
427,6,1,372,2026-12-07,99126.84
428,15,2,876,2026-08-23,65892.72
429,18,4,216,2026-06-13,24263.28
430,16,2,97,2027-04-12,8393.41
431,2,2,713,2026-04-06,162998.93
432,10,2,73,2027-03-25,21003.56
433,18,1,255,2026-05-26,28644.15
434,15,2,372,2026-12-03,27981.84
435,16,2,110,2026-08-24,9518.3
436,7,1,394,2026-08-18,34132.22
437,12,1,504,2027-05-09,32558.4
438,2,3,574,2026-12-21,131222.14
439,20,5,495,2026-08-08,110934.45
440,9,3,253,2026-03-03,62475.82
441,5,1,545,2026-11-28,70839.1
442,6,5,835,2026-11-30,222502.45
443,16,2,480,2027-01-23,41534.4
444,19,5,126,2026-07-15,32891.04
445,24,4,549,2027-01-28,33060.78
446,13,3,546,2026-10-19,132634.32
447,3,2,731,2027-05-21,228539.84
448,22,4,236,2026-12-04,51632.08
449,2,3,57,2026-11-20,13030.77
450,19,1,155,2026-03-01,40461.2
451,16,3,753,2026-03-20,65157.09
452,4,2,525,2027-03-04,29762.25
453,1,3,705,2027-01-05,177469.65
454,2,4,484,2027-06-20,110647.24
455,20,2,845,2027-01-04,189372.95
456,4,1,450,2027-06-18,25510.5
457,12,5,311,2026-04-16,20090.6
458,4,2,434,2027-01-03,24603.46
459,22,2,258,2027-01-05,56445.24
460,2,1,127,2027-04-14,29033.47
461,19,1,731,2026-05-30,190820.24
462,11,2,436,2026-10-28,33476.08
463,3,2,606,2027-05-10,189459.84
464,15,2,260,2026-07-04,19557.2
465,25,1,483,2027-01-18,106192.38
466,12,3,768,2026-11-19,49612.8
467,12,3,393,2026-08-16,25387.8
468,1,4,353,2026-03-21,88860.69
469,25,3,488,2026-03-04,107291.68
470,18,3,568,2026-12-13,63803.44
471,23,4,822,2027-01-18,208607.16
472,17,3,93,2026-04-26,13951.86
473,22,1,879,2027-06-10,192307.62
474,12,4,170,2026-04-16,10982.0
475,12,5,555,2027-04-20,35853.0
476,7,3,719,2026-07-12,62286.97
477,5,1,820,2026-10-12,106583.6
478,16,5,445,2027-05-03,38505.85
479,1,3,773,2026-05-04,194587.29
480,16,4,307,2027-01-30,26564.71
481,15,3,663,2026-07-19,49870.86
482,9,4,454,2027-02-23,112110.76
483,20,1,160,2026-01-31,35857.6
484,22,4,255,2026-03-28,55788.9
485,10,1,692,2026-03-05,199102.24
486,5,1,303,2027-06-20,39383.94
487,14,5,718,2026-09-03,93253.84
488,11,5,791,2027-05-22,60732.98
489,7,4,799,2027-02-24,69217.37
490,20,1,227,2027-05-25,50872.97
491,21,1,75,2026-09-16,5877.75
492,11,4,506,2026-11-24,38850.68
493,19,3,564,2027-04-16,147226.56
494,21,4,225,2026-11-22,17633.25
495,11,5,384,2026-09-13,29483.52
496,22,2,295,2027-04-19,64540.1
497,6,4,422,2026-08-30,112450.34
498,1,5,239,2027-02-28,60163.47
499,6,5,421,2026-10-18,112183.87
500,16,2,673,2026-12-16,58234.69
501,24,4,399,2026-10-24,24027.78
502,23,3,734,2026-05-01,186274.52
503,11,3,637,2027-03-02,48908.86
504,3,4,834,2026-03-18,260741.76
505,18,3,858,2027-03-03,96379.14
506,2,2,361,2026-04-15,82528.21
507,16,3,251,2026-06-07,21719.03
508,21,3,263,2027-05-15,20611.31
509,5,4,195,2026-11-20,25346.1
510,18,3,308,2026-09-20,34597.64
511,22,4,532,2027-03-25,116390.96
512,4,4,304,2026-03-04,17233.76
513,25,2,242,2027-01-15,53206.12
514,3,1,73,2027-04-04,22822.72
515,3,2,316,2026-10-29,98794.24
516,8,3,88,2027-06-15,23578.72
517,12,4,736,2027-05-16,47545.6
518,4,1,482,2026-05-30,27324.58
519,25,5,155,2026-08-03,34078.3
520,14,3,592,2026-07-01,76888.96
521,10,5,277,2027-01-14,79698.44
522,20,1,535,2026-11-12,119898.85
523,15,5,575,2026-03-09,43251.5
524,18,1,554,2026-02-07,62230.82
525,5,4,679,2027-01-17,88256.42
526,24,5,171,2026-02-12,10297.62
527,14,4,593,2027-01-25,77018.84
528,23,2,537,2026-03-07,136279.86
529,8,4,478,2026-04-30,128075.32
530,19,2,293,2026-08-23,76484.72
531,23,5,629,2027-05-26,159627.62
532,5,4,792,2027-04-16,102944.16
533,19,4,377,2026-05-07,98412.08
534,12,2,309,2027-03-28,19961.4
535,10,3,836,2026-03-11,240533.92
536,6,2,337,2026-09-29,89800.39
537,20,4,741,2027-05-19,166065.51
538,8,1,136,2026-05-21,36439.84
539,25,2,565,2027-04-07,124220.9
540,17,2,449,2026-06-09,67358.98
541,17,1,686,2027-03-13,102913.72
542,11,4,548,2027-01-19,42075.44
543,6,5,306,2026-06-14,81539.82
544,2,4,129,2026-09-26,29490.69
545,20,4,739,2026-03-26,165617.29
546,24,3,757,2026-12-01,45586.54
547,12,1,131,2026-11-20,8462.6
548,22,1,210,2026-10-05,45943.8
549,15,1,826,2026-07-21,62131.72
550,5,3,520,2026-11-14,67589.6
551,10,4,118,2027-01-23,33950.96
552,7,1,257,2026-09-11,22263.91
553,22,2,190,2026-02-03,41568.2
554,25,3,639,2026-05-31,140490.54
555,15,3,87,2026-07-08,6544.14
556,21,3,51,2026-11-23,3996.87
557,25,2,225,2026-07-16,49468.5
558,4,1,522,2026-09-13,29592.18
559,3,3,88,2027-01-19,27512.32
560,25,3,613,2026-08-18,134774.18
561,15,1,108,2026-12-02,8123.76
562,13,1,769,2026-03-12,186805.48
563,13,4,823,2026-08-06,199923.16
564,21,1,730,2027-04-23,57210.1
565,13,2,529,2026-03-29,128504.68
566,4,5,286,2026-08-25,16213.34
567,10,5,872,2026-07-18,250891.84
568,13,1,744,2026-09-08,180732.48
569,5,1,243,2027-03-17,31585.14
570,9,2,509,2026-10-23,125692.46
571,2,3,98,2026-05-17,22403.78
572,25,5,621,2027-03-09,136533.06
573,2,5,567,2026-03-22,129621.87
574,6,1,192,2026-04-20,51162.24
575,3,4,538,2026-12-17,168200.32
576,18,3,665,2027-03-18,74699.45
577,1,4,796,2026-11-05,200377.08
578,15,4,433,2027-05-24,32570.26
579,19,2,465,2027-01-09,121383.6
580,25,3,505,2026-04-05,111029.3
581,8,4,596,2026-10-08,159692.24
582,2,2,307,2027-04-10,70183.27
583,9,2,156,2026-10-03,38522.64
584,20,2,371,2027-03-18,83144.81
585,14,3,209,2026-06-03,27144.92
586,18,1,872,2026-04-14,97951.76
587,7,3,646,2027-05-28,55962.98
588,15,1,413,2026-06-21,31065.86
589,12,1,658,2026-09-27,42506.8
590,21,3,606,2027-06-17,47492.22
591,12,5,801,2027-03-30,51744.6
592,21,1,96,2026-11-25,7523.52
593,4,4,693,2026-09-29,39286.17
594,11,1,570,2026-11-18,43764.6
595,20,5,808,2026-05-30,181080.88
596,8,1,346,2026-09-21,92707.24
597,1,2,582,2026-09-01,146506.86
598,9,5,643,2027-02-15,158782.42
599,2,5,486,2026-04-26,111104.46
600,4,2,463,2026-07-13,26247.47
601,9,5,111,2026-10-19,27410.34
602,12,4,115,2027-05-16,7429.0
603,6,3,540,2026-08-14,143893.8
604,11,5,755,2026-11-11,57968.9
605,3,4,149,2027-02-07,46583.36
606,15,3,508,2027-01-13,38211.76
607,5,3,86,2026-11-10,11178.28
608,16,1,699,2027-02-23,60484.47
609,18,1,890,2026-10-22,99973.7
610,23,4,700,2027-04-08,177646.0
611,10,1,774,2026-07-23,222695.28
612,10,4,606,2027-03-02,174358.32
613,23,3,655,2026-12-04,166225.9
614,11,4,181,2026-08-14,13897.18
615,10,3,320,2026-09-13,92070.4
616,15,5,688,2026-11-21,51751.36
617,19,5,357,2027-02-14,93191.28
618,18,2,839,2026-07-28,94244.87
619,16,5,868,2026-08-21,75108.04
620,6,4,796,2026-06-01,212110.12
621,23,1,886,2026-05-09,224849.08
622,22,1,301,2027-05-04,65852.78
623,16,1,696,2027-02-05,60224.88
624,21,4,222,2026-08-02,17398.14
625,24,5,431,2026-09-27,25954.82
626,25,1,213,2027-04-12,46830.18
627,19,4,530,2027-04-16,138351.2
628,8,5,268,2027-01-09,71807.92
629,1,3,519,2026-11-16,130647.87
630,5,2,748,2026-05-14,97225.04
631,4,4,348,2027-01-11,19728.12
632,11,4,673,2026-09-16,51672.94
633,3,4,255,2026-12-16,79723.2
634,20,3,800,2026-08-29,179288.0
635,2,4,390,2027-05-31,89157.9
636,25,4,474,2026-12-16,104213.64
637,19,4,235,2026-06-14,61344.4
638,24,5,897,2027-05-08,54017.34
639,2,4,494,2026-08-16,112933.34
640,23,3,263,2026-05-24,66744.14
641,11,1,285,2026-08-07,21882.3
642,23,5,825,2026-04-09,209368.5
643,8,3,538,2027-05-14,144151.72
644,1,2,629,2026-10-25,158338.17
645,22,5,156,2026-11-13,34129.68
646,19,3,580,2026-02-08,151403.2
647,4,2,336,2026-03-12,19047.84
648,9,1,351,2027-02-01,86675.94
649,10,4,339,2026-08-24,97537.08
650,5,2,668,2026-12-31,86826.64
651,18,5,474,2027-01-07,53244.42
652,2,5,426,2026-02-06,97387.86
653,3,1,824,2026-09-02,257615.36
654,16,5,246,2026-08-13,21286.38
655,6,2,403,2026-08-26,107387.41
656,9,2,611,2026-02-11,150880.34
657,2,4,753,2026-11-11,172143.33
658,12,2,296,2026-02-02,19121.6
659,10,5,717,2026-09-22,206295.24
660,9,4,215,2027-03-05,53092.1
661,12,3,820,2026-02-23,52972.0
662,2,5,788,2026-09-13,180144.68
663,7,5,814,2027-05-21,70516.82
664,1,1,313,2026-09-30,78791.49
665,24,2,222,2026-09-25,13368.84
666,9,4,299,2026-10-06,73835.06
667,5,4,241,2026-02-04,31325.18
668,17,3,227,2027-06-23,34054.54
669,13,1,329,2026-12-22,79920.68
670,2,1,395,2026-05-17,90300.95
671,23,4,661,2027-03-25,167748.58
672,25,5,354,2026-12-25,77830.44
673,13,1,224,2027-01-19,54414.08
674,15,4,884,2027-04-22,66494.48
675,14,2,764,2027-04-08,99228.32
676,12,5,430,2027-01-20,27778.0
677,14,5,790,2026-02-18,102605.2
678,13,2,318,2026-06-22,77248.56
679,12,5,543,2026-11-23,35077.8
680,13,5,676,2026-04-17,164213.92
681,24,3,499,2026-07-30,30049.78
682,5,1,348,2027-05-15,45233.04
683,22,1,648,2026-11-17,141769.44
684,2,3,855,2026-05-10,195461.55
685,16,5,358,2026-10-09,30977.74
686,11,3,895,2027-05-07,68718.1
687,8,1,653,2027-03-24,174964.82
688,8,5,72,2026-02-22,19291.68
689,25,1,663,2026-06-01,145767.18
690,25,1,892,2026-09-14,196115.12
691,14,5,532,2027-02-16,69096.16
692,9,1,624,2026-09-02,154090.56
693,25,3,736,2026-11-14,161816.96
694,4,3,821,2026-06-12,46542.49
695,7,4,620,2026-06-11,53710.6
696,3,2,786,2026-07-29,245735.04
697,3,3,444,2027-02-05,138812.16
